銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1108,1094,1107.7795,1106,1119,1087,271700,94603,85381866,2.71,30.0,9.01,0.74,122.95,1504.71,110800,100,1491,1027
1605,国際石油開発帝石(株),1164,1145,1164.699,1160,1177,1153,6151900,1702876,1462323600,1.55,18.0,24.3,0.55,47.93,2100.26,116450,100,1556,1074
1719,安藤ハザマ,754,728,754.1712,749,772,749,2917200,139648,185209189,1.33,10.0,13.28,2.1,56.79,358.66,75400,100,799,605
1721,コムシスホールディングス(株),1505,1464,1505.6535999999999,1488,1510,1471,1186900,219697,145977886,2.33,35.0,10.12,0.9,148.78,1676.3,150500,100,1918,1381
1722,ミサワホーム(株),837,829,837.4438,841,855,827,287600,32424,38738914,2.39,20.0,7.82,0.96,107.09,870.06,83700,100,1182,781
1801,大成建設(株),787,765,786.928,780,795,770,13459000,921789,1171268860,1.02,8.0,21.92,1.86,35.9,422.2,787000,1000,856,648
1802,(株)大林組,1025,977,1024.8634000000002,993,1036,991,5921000,739547,721509646,0.98,10.0,24.53,1.43,41.78,716.38,1025000,1000,1098,717
1808,(株)長谷工コーポレーション,1458,1412,1457.7036,1447,1484,1445,4257200,438558,300794397,0.69,10.0,12.52,2.94,116.43,496.74,145800,100,1699,923
1812,鹿島,661,646,660.996,657,668,653,8672000,698883,1057312022,0.91,6.0,27.45,1.56,24.08,424.2,661000,1000,730,449
1878,大東建託(株),12965,12705,12962.2649,12820,13160,12820,343800,1028441,79324379,3.08,399.0,16.09,4.2,805.61,3085.68,1296500,100,14590,11860
1881,(株)ＮＩＰＰＯ,1982,1954,1981.831,1982,2016,1969,285000,236654,119401836,1.26,25.0,10.73,0.96,184.7,2073.99,1982000,1000,2254,1596
1911,住友林業(株),1325,1292,1325.4836,1307,1342,1307,587700,235069,177410239,1.81,24.0,12.04,0.97,110.09,1359.99,132500,100,1664,1060
1925,大和ハウス工業(株),2907,2777,2906.8168,2853,2944,2846,2481400,1936754,666238205,2.41,70.0,15.32,1.7,189.74,1710.73,290700,100,3362,2120
1928,積水ハウス(株),1770,1708,1770.3217,1741,1785,1739,3966900,1256140,709683466,3.05,54.0,13.37,1.18,132.41,1496.47,177000,100,2115,1472
1951,(株)協和エクシオ,1224,1212,1223.42,1226,1237,1212,503500,144202,117812419,2.61,32.0,9.13,0.83,134.0,1481.89,122400,100,1543,1141
1952,新日本空調(株),942,942,941.7579999999999,957,960,938,24500,23816,25282225,2.12,20.0,13.88,0.63,67.85,1496.53,94200,100,1212,855
1963,日揮(株),1726,1747,1726.2828000000002,1762,1778,1726,3193000,447255,259052929,2.32,40.0,10.89,1.11,158.52,1556.44,1726500,1000,2585,1694
1983,東芝プラントシステム(株),1213,1186,1213.4215,1206,1213,1178,575700,118458,97656888,3.09,37.5,9.85,1.01,123.19,1206.53,121300,100,1882,1122
2002,(株)日清製粉グループ本社,1641,1567,1640.8353,1597,1657,1587,1217500,499451,304357891,1.46,24.0,30.71,1.34,53.43,1228.17,164100,100,1880,1187
2121,(株)ミクシィ,4275,4380,4276.1511,4450,4475,4240,3592100,360363,84295500,3.02,129.0,6.63,5.32,644.97,803.38,427500,100,6670,3750
2131,(株)アコーディア・ゴルフ,1214,1191,1214.172,1216,1226,1204,456500,102873,84739000,2.97,36.0,20.88,1.86,58.15,652.57,121400,100,1337,1077
2181,テンプホールディングス(株),4960,4875,4959.159599999999,4965,5070,4940,301600,376095,75825567,0.73,36.0,23.88,3.53,207.67,1403.16,496000,100,5770,3655
2229,カルビー(株),4590,4405,4589.9592,4500,4645,4500,633900,613526,133665800,0.72,33.0,38.76,5.58,118.42,822.42,459000,100,5700,4050
