Code,Prev,Trend,Pred,Close,Pred-D,Pred-U,Errata-D,Errata-U,Correct,Trend-Correct,Pred-Ratio,Trend-Ratio,Trend-Correct-Ratio,Total-Correct-Ratio,Predict-mean,Predict-max,Predict-min
1417.0,1077.0,1.0,1075.0,1081.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5550416281221118,,,,,,
1605.0,1101.0,0.0,1090.0,1124.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.02491103202847,,,,,,
1719.0,721.0,0.0,721.0,741.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6990553306342804,,,,,,
1721.0,1465.0,1.0,1461.0,1483.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4834794335805839,,,,,,
1722.0,795.0,1.0,790.0,838.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.727923627684959,,,,,,
1801.0,755.0,0.0,759.0,773.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8111254851229006,,,,,,
1802.0,972.0,0.0,979.0,994.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.509054325955745,,,,,,
1808.0,1346.0,1.0,1352.0,1335.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2734082397003732,,,,,,
1812.0,631.0,0.0,632.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0155038759689887,,,,,,
1878.0,12265.0,0.0,12245.0,12405.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.2898024989923442,,,,,,
1881.0,2035.0,0.0,2023.0,2075.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.506024096385545,,,,,,
1911.0,1335.0,0.0,1337.0,1389.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7437005039596727,,,,,,
1925.0,3047.0,1.0,3044.0,3077.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0724731881702922,,,,,,
1928.0,1832.0,1.0,1835.0,1846.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.59588299024918,,,,,,
1951.0,1182.0,1.0,1183.0,1211.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.3121387283237027,,,,,,
1952.0,970.0,1.0,967.0,989.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.22446916076845,,,,,,
1963.0,1743.0,0.0,1719.0,1748.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.659038901601832,,,,,,
1983.0,1270.0,1.0,1265.0,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1583531274742711,,,,,,
2002.0,1618.0,1.0,1622.0,1633.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.6736068585425699,,,,,,
2121.0,4020.0,1.0,4044.0,4145.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.4366706875753863,,,,,,
2131.0,1183.0,0.0,1189.0,1176.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1054421768707385,,,,,,
2181.0,4940.0,0.0,4937.0,4975.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.7638190954773876,,,,,,
2229.0,3975.0,1.0,4034.0,4080.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.1274509803921546,,,,,,
2267.0,5920.0,1.0,5944.0,6090.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.397372742200332,,,,,,
2269.0,16570.0,1.0,16712.0,17100.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.269005847953224,,,,,,
2282.0,2522.0,1.0,2546.0,2519.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0718539102818596,,,,,,
2294.0,1860.0,0.0,1865.0,1820.0,0.0,0.0,0.0,0.0,0.0,1.0,2.47252747252746,,,,,,
2317.0,1194.0,1.0,1190.0,1199.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.7506255212677218,,,,,,
2327.0,4850.0,0.0,4820.0,4915.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.932858596134281,,,,,,
2331.0,5230.0,1.0,5269.0,5280.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.2083333333333286,,,,,,
2359.0,800.0,1.0,798.0,811.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6029593094944516,,,,,,
2371.0,1768.0,0.0,1772.0,1778.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33745781777277273,,,,,,
2395.0,418.0,0.0,417.0,418.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.23923444976075814,,,,,,
2412.0,2060.0,0.0,2064.0,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.059797608095678,,,,,,
2413.0,2353.0,0.0,2374.0,2416.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7384105960264833,,,,,,
2432.0,2304.0,1.0,2335.0,2313.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9511456982274069,,,,,,
2433.0,1180.0,1.0,1176.0,1179.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2544529262086428,,,,,,
2502.0,3773.0,1.0,3687.0,3891.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.24286815728604,,,,,,
2503.0,1619.0,0.0,1611.0,1653.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.5408348457350343,,,,,,
2593.0,2419.0,1.0,2420.0,2491.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.8502609393817835,,,,,,
2651.0,8720.0,0.0,8650.0,8570.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9334889148191508,,,,,,
2670.0,6720.0,1.0,6779.0,6870.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.3245997088791768,,,,,,
2674.0,1402.0,1.0,1401.0,1399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14295925661187425,,,,,,
2681.0,1923.0,1.0,1935.0,1934.0,0.0,1.0,0.0,1.0,1.0,1.0,0.051706308169599424,,,,,,
2695.0,3835.0,0.0,3812.0,3780.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8465608465608483,,,,,,
2702.0,2633.0,0.0,2633.0,2634.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03796507213364464,,,,,,
2726.0,3515.0,1.0,3547.0,3515.0,0.0,1.0,0.0,1.0,1.0,1.0,0.910384068278816,,,,,,
2768.0,239.0,0.0,238.0,244.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.4590163934426243,,,,,,
2780.0,2794.0,0.0,2794.0,2854.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1023125437981776,,,,,,
2782.0,5310.0,1.0,5285.0,5300.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28301886792453956,,,,,,
2784.0,2119.0,1.0,2126.0,2133.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.3281762775433634,,,,,,
2801.0,3380.0,1.0,3372.0,3475.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.9640287769784237,,,,,,
2802.0,2440.0,1.0,2450.0,2491.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.645925331192288,,,,,,
2809.0,2269.0,1.0,2323.0,2366.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.8174133558748906,,,,,,
2871.0,702.0,1.0,699.0,711.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.687763713080173,,,,,,
2875.0,4335.0,1.0,4357.0,4460.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.3094170403587384,,,,,,
2897.0,5250.0,1.0,5254.0,5370.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.1601489757914294,,,,,,
2914.0,4123.0,1.0,4118.0,4171.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.2706784943658676,,,,,,
2915.0,1542.0,0.0,1542.0,1549.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4519044544867654,,,,,,
3003.0,1028.0,0.0,1033.0,1038.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48169556840078087,,,,,,
3048.0,1038.0,1.0,1046.0,1040.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5769230769230802,,,,,,
3064.0,5190.0,0.0,5251.0,5400.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7592592592592666,,,,,,
3086.0,1800.0,1.0,1811.0,1857.0,0.0,1.0,0.0,1.0,1.0,1.0,-2.4771136241249394,,,,,,
3088.0,5060.0,0.0,5114.0,5140.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5058365758754917,,,,,,
3092.0,3405.0,0.0,3432.0,3505.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0827389443651896,,,,,,
3099.0,1802.0,1.0,1813.0,1831.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.9830693610049224,,,,,,
3116.0,2029.0,1.0,1995.0,2062.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.2492725509214324,,,,,,
3141.0,5450.0,0.0,5479.0,5590.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9856887298747807,,,,,,
3197.0,1552.0,1.0,1586.0,1585.0,0.0,1.0,0.0,1.0,1.0,1.0,0.06309148264985254,,,,,,
3231.0,2209.0,0.0,2215.0,2238.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0277033065236907,,,,,,
3289.0,804.0,0.0,808.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24813895781636575,,,,,,
3291.0,1786.0,0.0,1831.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.121693121693127,,,,,,
3349.0,14190.0,1.0,14234.0,14200.0,0.0,1.0,0.0,1.0,1.0,1.0,0.23943661971830466,,,,,,
3360.0,2540.0,0.0,2570.0,2583.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5032907471931907,,,,,,
3382.0,5020.0,1.0,5047.0,5066.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.3750493485984947,,,,,,
3391.0,9610.0,1.0,9689.0,9570.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2434691745036588,,,,,,
3402.0,1043.0,1.0,1038.0,1052.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.3307984790874485,,,,,,
3405.0,1459.0,1.0,1452.0,1476.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.6260162601626007,,,,,,
3407.0,917.0,1.0,919.0,922.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.32537960954446987,,,,,,
3436.0,1228.0,1.0,1192.0,1246.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.333868378812198,,,,,,
3512.0,497.0,1.0,496.0,498.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.40160642570282334,,,,,,
3606.0,137.0,0.0,137.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.836879432624116,,,,,,
3626.0,2789.0,1.0,2779.0,2809.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0679957280170953,,,,,,
3632.0,574.0,0.0,570.0,572.0,1.0,0.0,1.0,0.0,1.0,1.0,-0.3496503496503607,,,,,,
3636.0,2990.0,0.0,2971.0,3045.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.430213464696223,,,,,,
3639.0,1442.0,0.0,1435.0,1505.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.6511627906976685,,,,,,
3641.0,3170.0,0.0,3140.0,3240.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0864197530864175,,,,,,
3656.0,1304.0,0.0,1316.0,1329.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9781790820165526,,,,,,
3659.0,1627.0,1.0,1648.0,1670.0,0.0,1.0,0.0,1.0,1.0,1.0,-1.317365269461078,,,,,,
3664.0,507.0,0.0,510.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.923076923076934,,,,,,
3668.0,2031.0,0.0,2028.0,2091.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0129124820659996,,,,,,
3738.0,1827.0,0.0,1840.0,1863.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2345679012345698,,,,,,
3742.0,1109.0,0.0,1061.0,1083.0,1.0,0.0,1.0,0.0,1.0,1.0,-2.0313942751615883,,,,,,
3765.0,374.0,0.0,378.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7999999999999972,,,,,,
3774.0,2172.0,1.0,2148.0,2237.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.9785426911041526,,,,,,
3788.0,721.0,0.0,723.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1381215469613295,,,,,,
3793.0,709.0,0.0,704.0,712.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.1235955056179847,,,,,,
3799.0,575.0,0.0,555.0,591.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.09137055837563,,,,,,
3817.0,2035.0,0.0,2038.0,2087.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3478677527551497,,,,,,
3861.0,571.0,1.0,574.0,573.0,0.0,1.0,0.0,1.0,1.0,1.0,0.17452006980802537,,,,,,
3903.0,1163.0,1.0,1131.0,1339.0,0.0,0.0,0.0,0.0,0.0,1.0,-15.53398058252428,,,,,,
3905.0,516.0,0.0,521.0,516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689922480620226,,,,,,
3907.0,4020.0,1.0,4306.0,3875.0,0.0,1.0,0.0,0.0,0.0,0.0,11.122580645161293,,,,,,
3911.0,1249.0,0.0,1273.0,1308.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6758409785932713,,,,,,
4004.0,138.0,0.0,137.0,139.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.4388489208633075,,,,,,
4021.0,2716.0,1.0,2709.0,2789.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.8684116170670393,,,,,,
4042.0,593.0,1.0,587.0,612.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.084967320261441,,,,,,
4061.0,493.0,1.0,491.0,502.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.191235059760956,,,,,,
4063.0,6499.0,1.0,6441.0,6591.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.2758306781975364,,,,,,
