Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
8227	0.38	12000	12600	11930	12390	990	8.0	0	11895	しまむら
2674	0.51	1359	1478	1347	1478	89	6.09	0	1433	ハードオフコーポレーション
6093	0.13	8850	9300	8810	9100	550	6.05	0	8835	エスクロー・エージェント・ジャパン
4967	0.46	8600	9000	8520	8660	420	4.86	0	8450	小林製薬
3092	0.39	3605	3820	3570	3765	150	4.01	1	3690	スタートトゥ
4587	0.19	14110	14920	14020	14730	590	4.01	1	14389	ペプチドリーム
4716	0.46	5030	5080	4815	4850	160	3.32	0	4770	日本オラクル
4911	0.44	2472	2595	2472	2544	83	3.3	0	2503	資生堂
7606	0.26	4595	4895	4560	4775	155	3.27	0	4697	Ｕアローズ
8359	0.59	840	866	832	832	23	2.88	0	820	八十二
7309	0.55	17000	17640	16990	17490	500	2.86	0	17240	シマノ
8267	0.49	1710	1799	1709	1766	47	2.72	0	1742	イオン
3911	0.19	1313	1359	1310	1348	35	2.67	1	1330	Aiming
6856	0.51	4155	4425	4155	4205	110	2.64	0	4150	堀場製
3382	0.62	5233	5378	5218	5288	130	2.48	1	5222	セブン＆アイ
3402	0.57	1022	1062	1021	1042	23	2.3	0	1030	東レ
4761	-0.01	650	660	650	660	12	1.97	1	654	さくらケーシーエス
8897	0.44	554	586	552	570	10	1.93	1	565	タカラレーベ
4768	0.28	5930	6120	5870	5940	110	1.87	0	5885	大塚商会
7453	0.31	23000	24030	22870	23480	400	1.71	0	23283	良品計画
3141	0.26	5340	5540	5340	5430	90	1.68	0	5385	ウエルシア
9432	0.44	8953	9147	8939	9075	122	1.36	1	8821	ＮＴＴ
2294	0.2	1850	1878	1849	1878	24	1.33	1	1866	柿安本店
4452	0.53	5010	5244	5005	5100	63	1.25	0	5068	花王
2269	0.51	16740	17690	16700	17190	210	1.23	0	17085	明治ＨＤ
4912	0.47	989	1033	989	1013	11	1.18	0	1007	ライオン
2875	0.45	4295	4520	4280	4350	50	1.17	0	4325	東洋水
2331	0.43	5150	5350	5140	5280	60	1.16	0	5250	ALSOK
3086	0.6	1799	1881	1785	1827	20	1.15	0	1817	Ｊフロント
3659	0.41	1600	1688	1582	1632	17	1.1	0	1623	ネクソン
9627	0.37	5380	5670	5380	5560	60	1.1	1	5530	アインファマ
2651	0.4	8280	8520	8240	8400	90	1.08	0	8355	ローソン
4307	0.55	4870	5020	4860	4875	50	1.05	0	4850	野村総研
9843	0.44	9410	9840	9390	9630	90	0.94	0	9585	ニトリＨＤ
3064	0.34	5300	5520	5270	5450	50	0.94	0	5426	モノタロウ
3738	0.32	1785	1859	1783	1807	14	0.83	0	1800	ティーガイア
3641	0.2	3105	3235	3100	3185	25	0.82	0	3172	パピレス
8028	0.34	5290	5450	5270	5340	40	0.77	0	5320	ファミリーＭ
2002	0.61	1582	1657	1576	1615	11	0.74	0	1609	日清粉Ｇ
3788	0.36	750	751	733	733	4	0.68	1	731	GMOクラウド
2327	0.41	4825	5020	4825	4935	30	0.63	0	4920	新日鉄住金ソリューションズ
3197	0.19	1542	1583	1535	1565	8	0.58	0	1561	すかいらーく
2702	0.28	2643	2668	2643	2648	14	0.57	0	2641	マクドナルド
8572	0.52	524	546	523	536	2	0.56	0	535	アコム
7177	0.37	762	763	755	760	3	0.53	1	758	GMOクリックホールディングス
5020	0.26	451	460	447	454	1	0.44	1	453	ＪＸ
3088	0.37	5050	5230	5040	5110	20	0.41	0	5100	マツキヨＨＤ
9404	0.52	1957	2034	1957	1999	7	0.4	0	1995	日テレＨＤ
7649	0.44	5380	5580	5380	5420	20	0.39	0	5410	スギＨＤ
7532	0.35	10460	10630	10460	10500	40	0.39	1	10261	ドンキＨＤ
2593	0.39	2400	2463	2400	2422	8	0.37	0	2418	伊藤園
7947	0.35	4420	4535	4410	4490	15	0.36	0	4482	エフピコ
8729	0.53	1994	2035	1982	2020	6	0.35	0	2017	ソニーＦＨ
6465	0.53	7980	8230	7920	8080	20	0.26	0	8070	ホシザキ電機
9020	0.59	10230	10340	10085	10175	25	0.26	0	10162	ＪＲ東日本
8424	0.53	4400	4520	4380	4460	10	0.25	0	4455	芙蓉リース
7458	0.26	4365	4435	4365	4390	10	0.25	1	4385	第一興商
3349	0.21	13910	14520	13870	13990	30	0.22	0	13975	コスモス薬品
2181	0.39	4895	5120	4860	4955	10	0.22	0	4950	テンプＨＤ
9022	0.57	18550	19110	18465	18755	40	0.22	0	18735	ＪＲ東海
3391	0.35	9590	9840	9500	9590	20	0.22	0	9580	ツルハＨＤ
2809	0.4	2281	2355	2278	2311	3	0.17	0	2309	キユーピー
9989	0.37	6160	6420	6160	6290	10	0.17	0	6285	サンドラッグ
9956	0.41	2820	2938	2820	2856	2	0.11	0	2855	バロー
4793	0.16	880	880	875	880	0	0.11	1	879	富士通ビー・エス・シー
2802	0.57	2415	2478	2414	2425	1	0.08	0	2424	味の素
9435	0.36	8230	8440	8220	8280	0	0.01	0	8279	光通信
9640	0.13	1210	1239	1210	1239	-1	0.0	1	1239	セゾン情報システムズ
3799	0.25	559	563	550	560	-1	0.0	0	560	キーウェアソリューションズ
4527	0.42	1766	1832	1754	1770	-3	-0.11	1	1771	ロート
2670	0.28	6710	6910	6690	6750	-10	-0.13	0	6754	ＡＢＣマート
8270	0.5	708	737	708	724	-2	-0.14	0	724	ユニーＧＨＤ
