銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
8801,三井不動産(株),3616,3783,3615.4692,3713,3734,3598,6974000,3584992,991424727,0.77,28.0,33.39,1.91,108.28,1897.79,3616000,1000,3879,2951
8802,三菱地所(株),2790,2902,2790.3895,2860,2873,2761,8412000,3879903,1390397097,0.5,14.0,55.31,2.57,50.45,1085.35,2790500,1000,2975,2321
8830,住友不動産(株),4423,4621,4422.4212,4513,4530,4370,3905000,2105728,476085978,0.5,22.0,23.82,2.43,185.66,1817.25,4423000,1000,5064,3715
8840,(株)大京,202,205,202.0704,199,204,198,3938000,170396,843542737,1.49,3.0,13.58,1.1,14.88,184.17,202000,1000,225,162
8848,(株)レオパレス２１,572,615,572.178,600,600,568,6288500,152978,267443915,,,9.4,1.16,60.87,493.22,57200,100,817,568
8870,住友不動産販売(株),3425,3480,3424.9656,3400,3510,3325,93400,195910,57200000,1.46,50.0,16.73,2.13,204.72,1604.89,342500,100,3710,2628
8876,(株)リロ・ホールディング,12950,13310,12949.237500000001,12860,13140,12650,67200,198072,15295120,1.09,141.0,27.19,6.2,476.25,2087.79,1295000,100,14980,8270
8897,(株)タカラレーベン,533,550,533.0416,537,544,527,1334700,68224,128000000,1.88,10.0,7.28,1.98,73.22,269.43,53300,100,832,478
8905,イオンモール(株),2141,2215,2140.8468,2154,2179,2119,755400,487921,227893997,1.03,22.0,19.83,1.48,107.96,1449.65,214100,100,2531,1911
8933,ＮＴＴ都市開発(株),1202,1247,1202.0862,1217,1226,1190,1152200,395602,329120000,1.33,16.0,32.97,2.02,36.46,594.83,120200,100,1335,1099
9001,東武鉄道(株),560,579,559.8960000000001,569,570,560,3438000,602303,1075540607,1.07,6.0,24.6,1.55,22.76,361.33,560000,1000,609,493
9003,相鉄ホールディングス(株),711,737,710.9076,721,722,711,1384000,348907,490727495,0.91,6.5,29.77,3.3,23.88,215.5,711000,1000,808,495
9005,東京急行電鉄(株),891,928,891.018,910,915,890,4170000,1113518,1249739752,0.95,8.5,25.17,1.97,35.4,452.69,891000,1000,968,712
9007,小田急電鉄(株),1161,1211,1161.0216,1198,1202,1161,1542000,855652,736995435,0.78,9.0,30.78,2.64,37.72,439.27,1161000,1000,1353,1014
9008,京王電鉄(株),961,992,961.1469999999999,974,979,960,1568000,617687,642754152,0.88,8.5,31.9,1.86,30.13,515.41,961000,1000,1058,835
9009,京成電鉄(株),1398,1462,1398.2988,1431,1437,1395,1360000,482062,344822371,0.43,6.0,17.47,1.76,80.04,793.0,1398000,1000,1706,1354
9020,東日本旅客鉄道(株),11970,12135,11967.0342,11960,12050,11800,1613900,4710195,393500000,1.09,130.0,19.73,2.0,606.54,5974.41,1197000,100,12815,8710
9021,西日本旅客鉄道(株),8755,9044,8755.3385,8885,8933,8635,1453300,1696150,193735000,1.48,130.0,18.73,2.07,467.45,4232.83,875500,100,9488,5484
9022,東海旅客鉄道(株),21185,22050,21185.4464,21700,21825,21155,495200,4364110,206000000,0.57,120.0,13.76,1.98,1539.64,10716.64,2118500,100,24800,17170
9031,西日本鉄道(株),641,665,640.908,654,658,640,642000,254349,396800930,1.09,7.0,22.8,1.77,28.11,361.78,641000,1000,692,480
9041,近鉄グループホールディングス(株),440,454,439.95599999999996,444,446,439,4330000,838913,1906620616,1.14,5.0,36.36,2.73,12.1,161.26,440000,1000,486,380
9042,阪急阪神ホールディングス(株),756,782,756.1125,764,770,755,2948000,961184,1271406928,0.93,7.0,18.33,1.42,41.25,534.08,756000,1000,824,618
9045,京阪電気鉄道(株),803,830,803.0649999999999,816,821,803,1402000,454429,565913515,0.75,6.0,30.5,2.28,26.33,352.41,803000,1000,872,634
9048,名古屋鉄道(株),488,504,488.0175,494,494,487,1895000,448849,919772531,1.02,5.0,23.25,1.61,20.99,303.68,488000,1000,525,434
9062,日本通運(株),623,648,622.9825000000001,631,636,623,2393000,646674,1038000000,1.61,10.0,18.35,1.16,33.95,538.31,623000,1000,733,559
9064,ヤマトホールディングス(株),2410,2471,2410.1367000000005,2423,2430,2402,1689200,1049711,435564792,1.08,26.0,23.19,1.77,103.93,1359.48,241000,100,2958,2278
9065,山九(株),627,645,627.0984000000001,635,640,622,1639000,204451,326078030,1.59,10.0,13.88,1.33,45.18,473.09,627000,1000,714,444
9069,センコー(株),892,889,892.177,863,899,863,503000,126599,141927426,2.02,18.0,14.3,1.51,62.39,590.86,892000,1000,948,558
9076,セイノーホールディングス(株),1456,1503,1455.7217999999998,1475,1491,1455,1408800,302382,207679783,,,19.34,0.8,75.27,1808.88,145600,100,1640,1154
9086,(株)日立物流,2094,2149,2093.6979,2090,2139,2050,239400,234060,111776714,1.43,30.0,15.57,1.16,134.47,1800.07,209400,100,2380,1381
9202,ＡＮＡホールディングス(株),367,378,367.2384,371,373,367,22762000,1291583,3516425257,1.36,5.0,24.68,1.58,14.88,232.82,367300,1000,410,291
9301,三菱倉庫(株),1561,1620,1560.9670999999998,1575,1585,1552,703000,274613,175921478,0.77,12.0,28.49,1.03,54.79,1515.8,1561000,1000,2042,1551
9364,(株)上組,1051,1070,1051.0013999999999,1034,1053,1026,1055000,288337,274345675,1.14,12.0,16.99,0.89,61.86,1179.34,1051000,1000,1273,1025
9375,(株)近鉄エクスプレス,4860,5030,4858.8994999999995,4920,4970,4860,66700,174960,36000000,1.07,52.0,14.95,1.4,325.01,3474.84,486000,100,6430,4405
9404,日本テレビホールディングス(株),2228,2299,2228.1995,2249,2267,2223,703900,587796,263822080,1.35,30.0,17.89,0.99,124.55,2253.13,222800,100,2499,1693
9422,コネクシオ(株),1409,1433,1408.7479,1369,1437,1369,66300,78796,55923000,3.19,45.0,12.53,2.44,112.43,578.26,140900,100,1496,962
