Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
4777	0.18	875	945	861	909	79	8.8	1	886	ガーラ
5713	0.35	1485	1558	1480	1549	131	8.52	0	1483	住友鉱
5711	0.43	384	399	383	398	32	8.29	0	382	三菱マ
3664	-0.01	575	610	567	608	49	8.22	0	583	モブキャスト
3907	0.23	4070	4330	3975	4270	330	7.75	1	4106	シリコンスタジオ
3742	0.17	1177	1216	1140	1162	89	7.75	1	1125	ITbook
4114	0.3	1775	1867	1765	1860	143	7.74	0	1788	日触媒
7593	0.19	716	754	713	749	57	7.74	1	722	ＶＴＨＤ
8001	0.4	1459	1509	1446	1481	109	7.43	1	1427	伊藤忠
5401	0.47	248	260	247	257	18	7.39	0	248	新日鉄住金
6094	-0.01	1510	1578	1506	1569	115	7.39	1	1511	フリークアウト
6741	0.47	1098	1170	1097	1150	84	7.39	0	1108	日本信号
5706	0.36	248	261	247	258	18	7.36	0	249	三井金
7272	0.55	2316	2412	2277	2401	174	7.29	0	2314	ヤマハ発
4631	0.51	285	298	284	297	20	7.07	1	287	ＤＩＣ
7248	0.44	826	862	822	852	59	7.04	1	823	カルソカンセ
1983	0.15	1250	1306	1243	1303	90	6.98	1	1258	東芝プラ
6506	0.53	1382	1443	1366	1438	99	6.95	1	1388	安川電
5471	0.39	447	468	444	462	31	6.93	1	446	大同特鋼
5411	0.44	1896	1972	1895	1947	134	6.93	0	1880	ＪＦＥ
8897	0.39	532	545	523	529	35	6.81	1	511	タカラレーベ
4231	0.32	694	731	694	719	46	6.54	0	696	タイガースポリマー
2768	0.34	254	266	253	262	16	6.49	1	254	双日
2181	0.37	5210	5360	5200	5300	340	6.43	1	5135	テンプＨＤ
6146	0.39	9060	9520	9000	9450	600	6.36	0	9150	ディスコ
7014	0.42	887	920	885	906	56	6.29	1	878	名村造
7278	0.46	2751	2852	2720	2838	177	6.27	0	2750	エクセディ
5631	0.5	402	431	401	419	25	6.21	0	406	日製鋼
6841	0.55	1408	1451	1387	1450	89	6.21	0	1405	横河電
5714	0.51	1037	1084	1030	1078	65	6.12	1	1045	ＤＯＷＡ
4842	0.24	316	330	313	327	19	6.12	0	317	ＵＳＥＮ
6093	0.17	8850	9300	8810	9100	550	6.05	0	8850	エスクロー・エージェント・ジャパン
8031	0.4	1559	1610	1557	1598	95	6.01	1	1550	三井物
8616	0.65	807	837	804	833	49	6	1	808	東海東京
3659	0.36	1706	1723	1680	1695	100	5.96	1	1649	ネクソン
1963	0.26	1794	1858	1790	1833	107	5.89	0	1779	日揮
8058	0.42	2253	2336	2247	2296	134	5.88	1	2229	三菱商
6366	0.33	877	916	871	898	51	5.79	0	872	千代建
5020	0.18	459	478	456	469	26	5.76	0	456	ＪＸ
4116	0.59	563	578	553	575	32	5.74	1	559	大日精化工業
7988	0.45	4715	4885	4655	4855	275	5.68	1	4719	ニフコ
5019	0.19	2009	2097	2000	2065	116	5.67	1	2007	出光興産
7296	0.33	1804	1879	1788	1874	105	5.66	0	1822	ＦＣＣ
8303	0.45	260	269	259	268	14	5.6	1	261	新生銀
7936	0.34	3560	3615	3515	3605	195	5.44	0	3509	アシックス
6395	0.34	1645	1723	1643	1693	91	5.43	0	1648	タダノ
9422	0.33	1323	1323	1276	1293	69	5.41	0	1259	コネクシオ
1605	0.27	1222	1267	1214	1229	65	5.37	1	1197	国際石開帝石
7270	0.52	4199	4323	4179	4294	227	5.31	1	4182	富士重
8020	0.48	185	189	185	189	9	5.29	1	184	兼松
6981	0.43	17300	17670	17010	17595	925	5.26	0	17139	村田製
4324	0.6	6170	6330	6160	6320	330	5.24	1	6158	電通
7003	0.43	186	193	186	191	9	5.24	0	186	三井造
6201	0.57	6020	6220	6000	6160	320	5.21	1	6002	豊田織
4901	0.53	4860	5036	4850	4991	257	5.17	1	4864	富士フイルム
5802	0.53	1681	1727	1658	1707	87	5.16	1	1664	住友電
6954	0.58	19720	20385	19705	20370	1050	5.16	0	19845	ファナック
5991	0.41	1175	1208	1168	1202	61	5.16	1	1171	ニッパツ
7013	0.55	391	403	388	389	19	5.14	0	379	ＩＨＩ
1952	0.4	1000	1000	962	992	50	5.14	0	967	新日本空調
4088	0.59	1930	2028	1918	1985	101	5.14	0	1934	エアウォータ
4091	0.55	1483	1509	1456	1499	76	5.14	1	1461	大陽日酸
7453	0.24	26090	26960	25930	26730	1370	5.13	1	26062	良品計画
5486	0.4	1542	1592	1537	1582	80	5.12	1	1542	日立金
7205	0.56	1329	1365	1324	1347	68	5.12	1	1313	日野自
7012	0.58	460	477	460	471	23	5.1	0	459	川重
6861	0.55	57200	58260	56690	58260	2960	5.08	1	56794	キーエンス
6361	0.3	484	500	482	497	24	5.03	0	485	荏原
6481	0.43	2092	2165	2088	2154	107	5.01	0	2100	ＴＨＫ
7483	0.42	2195	2247	2174	2236	111	5.01	1	2181	ドウシシャ
