Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
7451	0.37	2517	2550	2456	2457	-110	-4.44	0	2511	三菱食品
5711	0.43	390	394	380	380	-18	-4.47	0	388	三菱マ
9532	0.44	509	512	491	492	-23	-4.47	0	503	大ガス
4832	0.05	1190	1190	1160	1160	-53	-4.48	0	1186	JFEシステムズ
6703	0.42	226	230	220	223	-11	-4.48	0	228	ＯＫＩ
9682	0.37	2644	2714	2575	2575	-117	-4.5	0	2633	DTS
4091	0.54	1454	1505	1437	1438	-66	-4.52	0	1470	大陽日酸
8001	0.39	1420	1435	1385	1387	-64	-4.54	0	1418	伊藤忠
6256	0.25	4590	4650	4480	4590	-210	-4.55	0	4694	ニューフレア
7012	0.58	468	477	461	462	-22	-4.55	0	472	川重
8601	0.7	846	854	823	830	-39	-4.58	0	849	大和
7483	0.4	2200	2224	2131	2131	-99	-4.6	0	2180	ドウシシャ
3407	0.58	959	977	951	952	-45	-4.62	0	975	旭化成
7201	0.55	1070	1080	1053	1060	-50	-4.62	0	1084	日産自
2801	0.6	3805	3940	3760	3770	-175	-4.62	0	3856	キッコマン
6702	0.3	567	582	559	562	-27	-4.63	0	575	富士通
8056	0.42	1207	1235	1201	1206	-57	-4.64	0	1234	日本ユニシス
9086	0.41	2041	2090	2000	2000	-94	-4.65	0	2046	日立物流
2503	0.47	1752	1763	1698	1698	-80	-4.65	0	1738	キリンＨＤ
1802	0.42	1007	1048	987	989	-47	-4.65	0	1012	大林組
4842	0.22	332	334	313	321	-16	-4.67	0	328	ＵＳＥＮ
6289	0.1	1549	1557	1489	1499	-71	-4.67	0	1534	技研製作所
7011	0.56	588	595	578	578	-28	-4.67	0	592	三菱重
5393	0.33	764	784	748	748	-36	-4.68	0	765	ニチアス
8012	0.67	1495	1510	1440	1442	-69	-4.72	0	1476	長瀬産業
6366	0.32	895	909	868	869	-42	-4.72	0	889	千代建
6963	0.61	6230	6310	6100	6100	-290	-4.74	0	6244	ローム
