銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1132,1174,1126,1133,1136,423500,96738,85381866,2.65,30.0,9.22,0.75,122.95,1504.71,113300,100,1491,1027
1605,国際石油開発帝石(株),1240,1244,1189,1189,1222,6948900,1739434,1462323600,1.51,18.0,24.82,0.57,47.93,2100.26,118950,100,1556,1074
1719,安藤ハザマ,791,809,784,791,795,4447600,146500,185209189,1.26,10.0,13.93,2.21,56.79,358.66,79100,100,809,605
1721,コムシスホールディングス(株),1516,1534,1485,1485,1510,789300,216777,145977886,2.36,35.0,9.98,0.89,148.78,1676.3,148500,100,1918,1381
1722,ミサワホーム(株),873,875,845,845,869,257800,32734,38738914,2.37,20.0,7.89,0.97,107.09,870.06,84500,100,1182,781
1801,大成建設(株),819,828,805,805,822,12852000,942871,1171268860,0.99,8.0,22.42,1.91,35.9,422.2,805000,1000,856,648
1802,(株)大林組,1054,1065,1032,1032,1050,5740000,744598,721509646,0.97,10.0,24.7,1.44,41.78,716.38,1032000,1000,1098,717
1808,(株)長谷工コーポレーション,1415,1454,1373,1375,1427,3723500,413592,300794397,0.73,10.0,11.81,2.77,116.43,496.74,137500,100,1699,923
1812,鹿島,679,680,661,661,682,5206000,698883,1057312022,0.91,6.0,27.45,1.56,24.08,424.2,661000,1000,730,449
1878,大東建託(株),13280,13285,12800,12800,13270,277200,1015352,79324379,3.12,399.0,15.89,4.15,805.61,3085.68,1280000,100,14590,11860
1881,(株)ＮＩＰＰＯ,2044,2054,2006,2006,2065,158000,239520,119401836,1.25,25.0,10.86,0.97,184.7,2073.99,2006000,1000,2254,1596
1911,住友林業(株),1351,1357,1302,1302,1360,498900,230988,177410239,1.84,24.0,11.83,0.96,110.09,1359.99,130200,100,1664,1060
1925,大和ハウス工業(株),2966,2974,2842,2842,2981,2176800,1893782,666238205,2.46,70.0,14.98,1.66,189.74,1710.73,284250,100,3362,2120
1928,積水ハウス(株),1807,1819,1742,1742,1812,2892700,1236623,709683466,3.1,54.0,13.16,1.16,132.41,1496.47,174250,100,2115,1472
1951,(株)協和エクシオ,1247,1257,1223,1223,1247,517800,144085,117812419,2.62,32.0,9.13,0.83,134.0,1481.89,122300,100,1543,1141
1952,新日本空調(株),978,982,940,940,983,18200,23765,25282225,2.13,20.0,13.85,0.63,67.85,1496.53,94000,100,1212,855
1963,日揮(株),1802,1815,1745,1745,1773,3487000,452047,259052929,2.29,40.0,11.01,1.12,158.52,1556.44,1745000,1000,2585,1694
1983,東芝プラントシステム(株),1300,1307,1261,1261,1325,433400,123145,97656888,2.97,37.5,10.24,1.05,123.19,1206.53,126100,100,1882,1122
2002,(株)日清製粉グループ本社,1656,1665,1598,1598,1658,985800,486364,304357891,1.5,24.0,29.91,1.3,53.43,1228.17,159800,100,1880,1187
2121,(株)ミクシィ,4130,4135,3915,3945,4170,2851600,332546,84295500,3.27,129.0,6.12,4.91,644.97,803.38,394500,100,6670,3750
2131,(株)アコーディア・ゴルフ,1233,1233,1190,1190,1221,546600,100839,84739000,3.03,36.0,20.46,1.82,58.15,652.57,119000,100,1337,1077
2181,テンプホールディングス(株),5390,5420,5210,5220,5420,314600,395809,75825567,0.69,36.0,25.14,3.72,207.67,1403.16,522000,100,5770,3655
2229,カルビー(株),4600,4600,4340,4345,4645,622200,580778,133665800,0.76,33.0,36.69,5.28,118.42,822.42,434500,100,5700,4050
2267,(株)ヤクルト本社,6720,6780,6380,6410,6780,584600,1127584,175910218,0.78,50.0,38.51,3.23,166.44,1987.08,641000,100,9030,6100
2269,明治ホールディングス(株),19500,19530,18530,18530,19750,504200,1414612,76341700,0.59,110.0,27.28,3.5,679.19,5292.99,1853000,100,21320,10690
2282,日本ハム(株),2807,2815,2665,2665,2800,1487000,543660,204000000,1.5,40.0,20.11,1.53,132.55,1740.54,2665000,1000,3235,2464
2294,(株)柿安本店,1891,1898,1870,1870,1889,5800,23275,12446700,2.25,42.0,15.6,1.61,119.87,1161.39,187000,100,2036,1712
2317,(株)システナ,1132,1145,1075,1078,1142,85900,30378,28180000,2.97,32.0,,2.12,,508.93,107800,100,1305,835
2327,新日鉄住金ソリューションズ(株),4600,4640,4470,4480,4695,190000,237436,52999120,1.56,70.0,19.29,2.19,232.24,2048.78,448000,100,5260,2750
