銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1104,1168,1104.0910000000001,1140,1165,1102,284200,94262,85381866,2.72,30.0,8.98,0.73,122.95,1504.71,110400,100,1491,1102
1605,国際石油開発帝石(株),1150,1200,1149.8407,1165,1177,1144,7756400,1681672,1462323600,1.57,18.0,23.99,0.55,47.93,2100.26,115000,100,1556,1144
1719,安藤ハザマ,707,752,707.0355,737,752,703,3063400,130943,185209189,1.41,10.0,12.45,1.97,56.79,358.66,70700,100,799,605
1721,コムシスホールディングス(株),1510,1573,1510.117,1536,1572,1507,1231900,220427,145977886,2.32,35.0,10.15,0.9,148.78,1676.3,151000,100,1918,1381
1722,ミサワホーム(株),835,892,835.302,870,879,833,423000,32347,38738914,2.4,20.0,7.8,0.96,107.09,870.06,83500,100,1182,833
1801,大成建設(株),760,811,760.003,794,808,760,17290000,890164,1171268860,1.05,8.0,21.17,1.8,35.9,422.2,760000,1000,856,648
1802,(株)大林組,989,1036,988.9326000000001,1007,1048,987,7598000,713573,721509646,1.01,10.0,23.67,1.38,41.78,716.38,989000,1000,1098,717
1808,(株)長谷工コーポレーション,1357,1478,1357.5738000000001,1422,1460,1351,4788000,408178,300794397,0.74,10.0,11.66,2.73,116.43,496.74,135700,100,1699,923
1812,鹿島,643,683,642.9359999999999,669,685,643,10597000,679852,1057312022,0.93,6.0,26.7,1.52,24.08,424.2,643000,1000,730,449
1878,大東建託(株),12735,13405,12736.6941,13140,13220,12705,363600,1010196,79324379,3.13,399.0,15.81,4.13,805.61,3085.68,1273500,100,14590,11860
1881,(株)ＮＩＰＰＯ,1992,2064,1992.9129999999998,2078,2083,1980,720000,237848,119401836,1.26,25.0,10.79,0.96,184.7,2073.99,1992000,1000,2254,1596
1911,住友林業(株),1315,1414,1314.4746,1376,1390,1313,749200,233294,177410239,1.83,24.0,11.94,0.97,110.09,1359.99,131500,100,1664,1060
