Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
1417,1077,0,1065,1084,,,1,,,,-1.7527675277,
1605,1097,0,1090,1081,1,,1,,1,,0.8325624422,1
1719,737,0,726,772,,,1,,,,-5.9585492228,
1721,1438,0,1405,1416,1,,1,,1,,-0.7768361582,1
1722,781,0,776,765,1,,1,,1,,1.4379084967,1
1801,769,0,758,780,,,1,,,,-2.8205128205,
1802,1000,0,987,1014,,,1,,,,-2.6627218935,
1808,1403,0,1355,1418,,,1,,,,-4.442877292,
1812,646,0,635,648,,,1,,,,-2.0061728395,
1878,12510,0,12330,12415,1,,1,,1,,-0.6846556585,1
1881,2039,0,2020,2052,,,1,,,,-1.559454191,
1911,1365,0,1345,1376,,,1,,,,-2.2529069767,
1925,2994,0,2934,2974,1,,1,,1,,-1.3449899126,1
1928,1868,0,1841,1905,,,1,,,,-3.3595800525,
1951,1167,0,1158,1165,1,,1,,1,,-0.6008583691,1
1952,983,0,971,960,1,,1,,1,,1.1458333333,1
1963,1642,0,1632,1628,1,,1,,1,,0.2457002457,1
1983,1242,0,1236,1207,1,,1,,1,,2.4026512013,1
2002,1710,1,1662,1707,,,,,,,-2.6362038664,
2121,4000,0,3985,4160,,,1,,,,-4.2067307692,
2131,1137,0,1143,1134,,,,,,,0.7936507937,1
2181,5310,1,5134,5240,,,,,,,-2.0229007634,
2229,3925,0,3884,3945,,,1,,,,-1.54626109,
2267,6080,0,5954,6060,1,,1,,1,,-1.7491749175,1
2269,18030,1,17607,18030,,,,,,,-2.3460898502,1
2282,2538,0,2478,2497,1,,1,,1,,-0.7609130957,1
2294,1875,1,1876,1863,,,,1,,,0.6977992485,
2317,1129,0,1138,1115,,,,,,,2.0627802691,1
2327,4980,1,4957,5060,,,,,,,-2.0355731225,1
2331,5320,1,5300,5320,,,,,,,-0.3759398496,1
2359,794,0,788,810,,,1,,,,-2.7160493827,
2371,1896,0,1869,1936,,,1,,,,-3.4607438017,
2395,425,0,413,428,,,1,,,,-3.5046728972,
2412,1954,0,1969,2047,,,,,,,-3.8104543234,
2413,2371,0,2362,2384,,,1,,,,-0.9228187919,
2432,2271,0,2267,2276,,,1,,,,-0.39543058,
2433,1159,0,1152,1175,,,1,,,,-1.9574468085,
2502,3889,0,3822,3879,1,,1,,1,,-1.4694508894,1
2503,1617,0,1599,1613,1,,1,,1,,-0.8679479231,1
2593,2452,1,2437,2470,,,,,,,-1.3360323887,1
2651,8670,1,8535,8760,,,,,,,-2.5684931507,1
2670,6850,0,6800,6920,,,1,,,,-1.7341040462,
2674,1514,1,1496,1562,,,,,,,-4.2253521127,1
2681,1914,0,1919,1894,,,,,,,1.3199577614,1
2695,3720,0,3710,3795,,,1,,,,-2.2397891963,
2702,2662,1,2655,2694,,,,,,,-1.4476614699,1
2726,3370,0,3412,3460,,,,,,,-1.387283237,
2768,237,0,234,231,1,,1,,1,,1.2987012987,1
2780,2769,0,2754,2773,,,1,,,,-0.685178507,
2782,5450,0,5400,5700,,,1,,,,-5.2631578947,
2784,2077,0,2087,2063,,,,,,,1.1633543383,1
2801,3440,0,3366,3415,1,,1,,1,,-1.4348462665,1
2802,2561,1,2493,2512,,,,,,,-0.7563694268,
2809,2390,1,2350,2420,,,,,,,-2.8925619835,1
2871,728,0,708,727,1,,1,,1,,-2.613480055,1
2875,4475,1,4412,4485,,,,,,,-1.6276477146,1
2897,5410,0,5320,5390,1,,1,,1,,-1.2987012987,1
2914,4146,0,4069,4125,1,,1,,1,,-1.3575757576,1
2915,1572,0,1553,1555,1,,1,,1,,-0.1286173633,1
3003,1080,0,1049,1088,,,1,,,,-3.5845588235,
3048,1039,0,1035,1065,,,1,,,,-2.8169014085,
3064,5480,1,5465,5480,,,,,,,-0.2737226277,1
3086,1901,1,1864,1945,,,,,,,-4.1645244216,1
3088,5190,1,5150,5250,,,,,,,-1.9047619048,1
3092,3825,1,3795,3935,,,,,,,-3.5578144854,1
3099,1804,0,1789,1838,,,1,,,,-2.6659412405,
3116,2002,0,1996,1977,1,,1,,1,,0.9610520991,1
3141,5660,1,5545,5800,,,,,,,-4.3965517241,1
3197,1562,1,1563,1602,,1,,1,1,,-2.4344569288,1
3231,2423,0,2354,2461,,,1,,,,-4.347826087,
3289,823,0,802,818,1,,1,,1,,-1.95599022,1
3291,1925,0,1891,1904,1,,1,,1,,-0.6827731092,1
3349,14280,1,14135,14100,,,,,,,0.2482269504,
3360,2593,0,2540,2658,,,1,,,,-4.4394281415,
3382,5344,1,5315,5379,,,,,,,-1.1898122328,1
3391,9920,1,9755,10120,,,,,,,-3.6067193676,1
3402,1079,1,1060,1053,,,,,,,0.6647673314,
3405,1446,0,1445,1464,,,1,,,,-1.2978142077,
3407,873,0,877,858,,,,,,,2.2144522145,1
3436,1102,0,1102,1061,,,,,,,3.8642789821,1
3512,500,0,496,498,1,,1,,1,,-0.4016064257,1
3606,137,0,135,136,1,,1,,1,,-0.7352941176,1
3626,2721,0,2712,2742,,,1,,,,-1.0940919037,
3632,555,0,553,554,1,,1,,1,,-0.1805054152,1
3636,2992,0,2927,3070,,,1,,,,-4.657980456,
3639,1461,0,1446,1498,,,1,,,,-3.4712950601,
3641,3115,1,3149,3110,,,,1,,,1.2540192926,
3656,1297,0,1272,1293,1,,1,,1,,-1.6241299304,1
3659,1612,1,1621,1597,,,,1,,,1.5028177833,
3664,479,0,483,498,,,,,,,-3.0120481928,
3668,2083,0,2059,2049,1,,1,,1,,0.4880429478,1
3738,1797,1,1802,1791,,,,1,,,0.6141820212,
3742,1055,0,1057,1084,,,,,,,-2.4907749077,
3765,365,0,363,355,1,,1,,1,,2.2535211268,1
3774,2147,0,2116,2175,,,1,,,,-2.7126436782,
3788,740,1,736,755,,,,,,,-2.5165562914,1
3793,676,0,673,696,,,1,,,,-3.3045977011,
3799,538,0,548,560,,,,,,,-2.1428571429,
3817,2079,0,2071,2057,1,,1,,1,,0.6806028196,1
3861,548,0,547,533,1,,1,,1,,2.626641651,1
3903,1308,0,1336,1321,,,,,,,1.1355034065,
3905,551,0,532,563,,,1,,,,-5.5062166963,
3907,3605,0,3607,3740,,,,,,,-3.5561497326,
3911,1305,1,1326,1261,,,,1,,,5.1546391753,
4004,135,0,134,133,1,,1,,1,,0.7518796992,1
4021,2690,0,2661,2676,1,,1,,1,,-0.5605381166,1
4042,596,0,585,589,1,,1,,1,,-0.6791171477,1
4061,478,0,474,469,1,,1,,1,,1.066098081,1
4063,6140,0,6130,6147,,,1,,,,-0.2765576704,
4088,1717,0,1700,1734,,,1,,,,-1.9607843137,
4091,1136,0,1124,1148,,,1,,,,-2.0905923345,
4114,1637,0,1623,1637,,,1,,,,-0.8552229688,
4116,531,0,524,517,1,,1,,1,,1.3539651838,1
4151,1772,0,1749,1759,1,,1,,1,,-0.5685048323,1
4185,1699,0,1685,1703,,,1,,,,-1.0569583089,
4188,631,0,637,613,,,,,,,3.9151712887,1
4201,774,0,767,755,1,,1,,1,,1.5894039735,1
