Code,Corr,Open,High,Low,Close,Change,Ratio,Trend,Pred,Name
3742,0.17,985,1054,950,1047,137,13.18,1,987,ITbook
3799,0.19,517,585,517,581,69,12.05,0,547,キーウェアソリューションズ
3793,0.13,707,815,707,790,90,11.52,0,745,ドリコム
4777,0.17,771,830,751,825,87,10.67,1,798,ガーラ
3905,0.12,580,629,548,592,62,10.64,0,561,データセクション
6981,0.43,16520,17350,15515,16955,1625,9.59,1,16152,村田製
6762,0.67,7090,7500,6990,7480,690,9.24,0,7136,ＴＤＫ
3907,0.21,3780,3910,3625,3840,340,8.88,0,3671,シリコンスタジオ
2412,0.25,1940,2120,1908,2095,178,8.54,0,2017,ベネフィット・ワン
6988,0.64,7510,8105,7500,8105,687,8.49,0,7765,日東電
2121,0.13,4130,4390,4080,4380,360,8.24,1,4201,ミクシィ
9501,0.4,816,840,794,838,67,8.11,0,805,東京電力
6425,0.3,2171,2316,2155,2303,182,7.95,0,2218,ユニバーサル
4572,0.11,3150,3280,3015,3250,253,7.82,1,3220,カルナバイオサイエンス
8410,0.39,492,510,482,509,38,7.66,0,490,セブン銀
9503,0.41,1406,1504,1403,1499,113,7.61,0,1444,関西電力
6594,0.45,9130,9415,8958,9377,697,7.44,0,9033,日電産
4722,0.37,635,683,635,678,49,7.37,0,653,フューチャーアーキテクト
8572,0.47,529,549,522,546,39,7.33,0,526,アコム
6094,-0.02,1266,1450,1266,1420,100,7.11,0,1370,フリークアウト
4911,0.39,2439,2609,2430,2599,183,7.08,0,2512,資生堂
4922,0.3,10770,11370,10750,11360,800,7.05,1,10989,コーセー
3765,0.11,342,354,335,353,23,6.8,0,341,ガンホー
7420,0.55,830,871,820,865,57,6.71,0,836,佐鳥電機
7936,0.33,3295,3425,3225,3410,220,6.48,0,3301,アシックス
6963,0.61,6120,6440,6060,6380,410,6.44,0,6176,ローム
7974,0.42,22610,23945,22610,23880,1530,6.41,1,23139,任天堂
7270,0.51,3992,4110,3853,4059,257,6.36,0,3932,富士重
