Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio
1417,1133,0,1134,1095,,,,,,,3.5616438356
1605,1189,0,1205,1146,,,,,,,5.1483420593
1719,791,1,792,788,,,,1,,,0.5076142132
1721,1485,0,1497,1460,,,,,,,2.5342465753
1722,845,1,856,817,,,,1,,,4.7735618115
1801,805,1,813,795,,,,1,,,2.2641509434
1802,1032,0,1040,1027,,,,,,,1.2658227848
1808,1375,0,1400,1324,,,,,,,5.7401812689
1812,661,0,671,660,,,,,,,1.6666666667
1878,12800,1,13033,12365,,,,1,,,5.4023453296
1881,2006,1,2035,2080,,1,,1,1,,-2.1634615385
1911,1302,1,1330,1286,,,,1,,,3.4214618974
1925,2842,0,2910,2780,,,,,,,4.6762589928
1928,1742,0,1776,1696,,,,,,,4.7169811321
1951,1223,0,1234,1192,,,,,,,3.5234899329
1952,940,0,961,930,,,,,,,3.3333333333
1963,1745,0,1758,1720,,,,,,,2.2093023256
1983,1261,1,1292,1243,,,,1,,,3.9420756235
2121,3945,0,4055,3980,,,,,,,1.8844221106
2131,1190,0,1205,1190,,,,,,,1.2605042017
2181,5220,1,5316,5130,,,,1,,,3.6257309942
2229,4345,1,4493,4260,,,,1,,,5.4694835681
2267,6410,0,6591,6210,,,,,,,6.1352657005
2269,18530,1,19125,18280,,,,1,,,4.6225382932
2282,2665,1,2731,2655,,,,1,,,2.8625235405
2294,1870,0,1879,1833,,,,,,,2.5095471904
2317,1078,1,1109,1067,,,,1,,,3.9362699157
2327,4480,1,4584,4545,,1,,1,1,,0.8580858086
2331,5060,1,5177,5180,,1,,1,1,,-0.0579150579
2359,822,1,831,809,,,,1,,,2.7194066749
2371,1844,0,1885,1840,,,,,,,2.4456521739
2395,460,1,475,449,,,,1,,,5.7906458797
2412,1975,1,2069,1970,,,,1,,,5.0253807107
2413,2685,1,2747,2633,,,,1,,,4.3296619825
2432,2120,0,2166,2113,,,,,,,2.5082820634
2433,1158,0,1185,1156,,,,,,,2.508650519
2502,3895,1,3948,3803,,,,1,,,3.8127793847
2503,1701,1,1741,1691,,,,1,,,2.9568302779
2593,2696,1,2781,2597,,,,1,,,7.0850981902
2651,8360,1,8509,8220,,,,1,,,3.5158150852
2670,7190,1,7274,7350,,1,,1,1,,-1.0340136054
2674,1395,0,1421,1392,,,,,,,2.0833333333
2681,1734,0,1785,1701,,,,,,,4.9382716049
2695,3240,0,3306,3185,,,,,,,3.7990580848
2702,2663,1,2666,2678,,1,,1,1,,-0.4480955937
2726,3525,1,3567,3450,,,,1,,,3.3913043478
2768,248,0,252,241,,,,,,,4.5643153527
2780,2813,1,2928,2825,,1,,1,1,,3.6460176991
2782,5510,1,5679,5440,,,,1,,,4.3933823529
2801,3670,0,3784,3600,,,,,,,5.1111111111
2802,2550,1,2610,2562,,1,,1,1,,1.8735362998
2809,2492,1,2582,2475,,,,1,,,4.3232323232
2871,707,1,724,704,,,,1,,,2.8409090909
2875,4380,1,4464,4345,,,,1,,,2.7387802071
2897,5470,1,5614,5380,,,,1,,,4.3494423792
2914,4152,1,4239,4234,,1,,1,1,,0.1180916391
2915,1590,1,1628,1565,,,,1,,,4.0255591054
3003,1068,0,1091,1054,,,,,,,3.5104364326
3048,1112,0,1141,1130,,,,,,,0.9734513274
3064,5720,1,5913,5880,,1,,1,1,,0.5612244898
3086,1861,0,1914,1820,,,,,,,5.1648351648
3088,5530,1,5675,5410,,,,1,,,4.898336414
3092,3500,0,3597,3560,,,,,,,1.0393258427
3099,1831,1,1885,1810,,,,1,,,4.1436464088
3116,1882,0,1950,1869,,,,,,,4.3338683788
3141,5520,1,5664,5610,,1,,1,1,,0.9625668449
3197,1789,1,1830,1694,,,,1,,,8.0283353011
3231,2184,0,2230,2106,,,,,,,5.8879392213
3289,810,0,821,805,,,,,,,1.9875776398
3291,2015,1,2078,1980,,,,1,,,4.9494949495
3349,14720,1,15133,14720,,1,,1,1,,2.8057065217
3360,2635,1,2650,2601,,,,1,,,1.8838908112
3382,5039,0,5162,5013,,,,,,,2.9722720926
3391,9410,1,9631,9330,,,,1,,,3.2261521972
3402,1034,0,1052,1024,,,,,,,2.734375
3405,1395,0,1414,1367,,,,,,,3.4381858083
3407,916,0,942,899,,,,,,,4.7830923248
3436,1053,1,1084,1036,,,,1,,,4.6332046332
3512,510,1,517,500,,,,1,,,3.4
3606,151,1,154,147,,,,1,,,4.7619047619
3626,2761,0,2801,2739,,,,,,,2.263599854
3632,549,0,560,547,,,,,,,2.3765996344
3636,2945,1,2972,2880,,,,1,,,3.1944444444
3639,1425,0,1474,1461,,,,,,,0.8898015058
3641,3335,1,3467,3430,,1,,1,1,,1.0787172012
3656,1342,0,1389,1334,,,,,,,4.1229385307
3659,1628,0,1656,1660,,,,,,,-0.2409638554
3664,551,0,569,579,,,,,,,-1.7271157168
3668,2019,1,2103,2002,,,,1,,,5.044955045
3738,1896,1,1941,1833,,,,1,,,5.8919803601
3742,1071,0,1102,1070,,,,,,,2.9906542056
3765,346,1,355,354,,1,,1,1,,0.2824858757
3774,2075,0,2110,2069,,,,,,,1.9816336394
3788,755,1,774,718,,,,1,,,7.7994428969
3793,763,0,786,765,,,,,,,2.7450980392
3799,557,0,569,545,,,,,,,4.4036697248
3817,2112,1,2152,2202,,1,,1,1,,-2.2706630336
3861,552,1,556,530,,,,1,,,4.9056603774
3903,1138,1,1196,1130,,,,1,,,5.8407079646
3905,558,1,575,544,,,,1,,,5.6985294118
3907,3890,0,4063,3655,,,,,,,11.1627906977
3911,1166,1,1221,1174,,1,,1,1,,4.003407155
4004,136,0,137,134,,,,,,,2.2388059701
4021,2693,0,2742,2663,,,,,,,2.9665790462
4042,515,1,543,523,,1,,1,1,,3.8240917782
4061,495,0,505,494,,,,,,,2.2267206478
4063,6401,0,6536,6361,,,,,,,2.7511397579
4088,1862,0,1900,1829,,,,,,,3.8819026791
4091,1384,0,1434,1355,,,,,,,5.8302583026
4114,1804,1,1837,1742,,,,1,,,5.4535017222
4116,551,1,563,557,,1,,1,1,,1.0771992819
4151,1936,0,1986,1989,,,,,,,-0.1508295626
4185,1902,0,1904,1828,,,,,,,4.1575492341
4188,663,0,676,652,,,,,,,3.6809815951
4201,826,1,849,819,,,,1,,,3.663003663
4202,1513,0,1556,1483,,,,,,,4.9224544842
4204,1274,0,1306,1251,,,,,,,4.3964828137
4205,969,0,988,938,,,,,,,5.3304904051
4206,2497,0,2540,2453,,,,,,,3.5466775377
4208,208,0,208,207,,,,,,,0.4830917874
4217,1789,0,1827,1753,,,,,,,4.2213348545
4231,686,0,699,675,,,,,,,3.5555555556
4272,1211,0,1226,1196,,,,,,,2.508361204
4283,3775,0,3942,3775,,,,,,,4.4238410596
4298,1725,1,1751,1693,,,,1,,,3.4258712345
4307,4690,0,4805,4665,,,,,,,3.0010718114
4324,5890,0,6051,5880,,,,,,,2.9081632653
4348,1186,1,1197,1188,,1,,1,1,,0.7575757576
4452,5296,0,5422,5330,,,,,,,1.7260787992
4502,5700,0,5829,5695,,,,,,,2.3529411765
4503,1695,0,1747,1684,,,,,,,3.7410926366
4506,1250,0,1272,1310,,,,,,,-2.9007633588
4507,4555,0,4655,4590,,,,,,,1.4161220044
4508,2054,0,2112,2076,,,,,,,1.7341040462
4519,4295,0,4412,4350,,,,,,,1.4252873563
4521,5500,1,5608,5600,,1,,1,1,,0.1428571429
4523,7653,1,7956,7751,,1,,1,1,,2.6448200232
4527,2003,1,2049,1912,,,,1,,,7.1652719665
4528,14680,0,15072,14750,,,,,,,2.1830508475
4530,4030,1,4116,4120,,1,,1,1,,-0.0970873786
4534,7390,1,7598,7340,,,,1,,,3.514986376
4540,2555,0,2626,2786,,,,,,,-5.7430007179
4543,3165,0,3239,3140,,,,,,,3.152866242
4544,4990,0,5098,4935,,,,,,,3.3029381966
4555,7370,0,7514,7370,,,,,,,1.9538670285
4568,2194,1,2264,2184,,,,1,,,3.663003663
4569,2054,1,2101,2025,,,,1,,,3.7530864198
4572,2660,0,2690,2734,,,,,,,-1.6093635699
4578,3851,1,3990,3913,,1,,1,1,,1.9677996422
4581,7430,1,7642,7410,,,,1,,,3.1309041835
4587,14730,1,14495,14730,,,,,,,-1.5953835709
4612,2372,0,2433,2287,,,,,,,6.3839090512
4613,1835,0,1864,1792,,,,,,,4.0178571429
4631,275,0,283,274,,,,,,,3.2846715328
4634,445,0,452,439,,,,,,,2.9612756264
4641,2336,0,2391,2319,,,,,,,3.1047865459
4666,2396,1,2388,2391,,,,,,,-0.1254705144
4676,1369,1,1395,1378,,1,,1,1,,1.2336719884
4681,3120,1,3174,3035,,,,1,,,4.5799011532
4684,5140,1,5272,5080,,,,1,,,3.7795275591
4689,470,0,480,470,,,,,,,2.1276595745
4704,4180,0,4246,4140,,,,,,,2.5603864734
4708,1170,1,1204,1140,,,,1,,,5.6140350877
4716,4900,0,4984,4830,,,,,,,3.1884057971
4719,1760,1,1776,1720,,,,1,,,3.2558139535
4722,697,1,702,703,,1,,1,1,,-0.1422475107
4726,1220,0,1238,1194,,,,,,,3.6850921273
4732,2065,1,2108,2039,,,,1,,,3.3840117705
4751,4500,0,4653,4375,,,,,,,6.3542857143
4755,1633,1,1683,1631,,,,1,,,3.1882280809
4761,652,0,652,656,,,,,,,-0.6097560976
4768,6160,1,6278,6130,,,,1,,,2.4143556281
4777,802,0,831,818,,,,,,,1.5892420538
4793,919,1,920,882,,,,1,,,4.3083900227
4812,1406,1,1428,1346,,,,1,,,6.0921248143
4832,1161,0,1170,1160,,,,,,,0.8620689655
4837,511,1,513,510,,,,1,,,0.5882352941
4842,316,0,321,312,,,,,,,2.8846153846
4901,4777,0,4881,4766,,,,,,,2.4129248846
4902,1289,0,1310,1265,,,,,,,3.557312253
4911,2468,0,2504,2472,,,,,,,1.2944983819
4912,1023,1,1042,1038,,1,,1,1,,0.3853564547
4922,11120,1,11528,11120,,1,,1,1,,3.6690647482
4927,7050,1,7152,7030,,,,1,,,1.7354196302
4967,8870,1,9147,8870,,1,,1,1,,3.122886133
4968,1062,1,1091,1023,,,,1,,,6.6471163245
5002,1006,0,1021,962,,,,,,,6.1330561331
5012,1185,1,1197,1154,,,,1,,,3.726169844
5019,2003,1,2040,1921,,,,1,,,6.1946902655
5020,455,0,462,442,,,,,,,4.5248868778
5101,1319,1,1336,1319,,1,,1,1,,1.2888551933
5105,2558,1,2635,2522,,,,1,,,4.4805709754
5108,3878,0,3971,3869,,,,,,,2.6363401396
5110,1624,0,1670,1595,,,,,,,4.7021943574
5186,2825,0,2864,2771,,,,,,,3.3561891014
5196,578,0,583,568,,,,,,,2.6408450704
5201,703,0,711,700,,,,,,,1.5714285714
5214,523,0,529,523,,,,,,,1.1472275335
5233,403,0,406,396,,,,,,,2.5252525253
5332,1686,0,1736,1650,,,,,,,5.2121212121
5334,2849,0,2915,2814,,,,,,,3.5891968728
5393,763,0,769,748,,,,,,,2.807486631
5401,240,0,245,235,,,,,,,4.2553191489
5411,1786,0,1833,1737,,,,,,,5.5267702936
5471,435,0,442,423,,,,,,,4.4917257683
5486,1474,0,1505,1475,,,,,,,2.0338983051
5631,391,0,396,383,,,,,,,3.3942558747
5706,243,0,245,238,,,,,,,2.9411764706
5711,378,0,383,371,,,,,,,3.2345013477
5713,1446,0,1493,1410,,,,,,,5.8865248227
5714,1021,0,1038,999,,,,,,,3.9039039039
5802,1593,0,1629,1566,,,,,,,4.0229885057
5857,1760,0,1779,1711,,,,,,,3.9742840444
5929,911,1,917,851,,,,1,,,7.7555816686
5938,2436,1,2468,2405,,,,1,,,2.6195426195
5947,8780,1,8933,8740,,,,1,,,2.2082379863
5949,2148,0,2209,2068,,,,,,,6.8181818182
5970,1249,1,1249,1212,,,,1,,,3.0528052805
5986,299,0,303,295,,,,,,,2.7118644068
5991,1113,0,1143,1109,,,,,,,3.0658250676
6037,2142,0,2216,2090,,,,,,,6.028708134
6093,9100,0,8850,9100,,,1,,,,-2.7472527473
6094,1467,0,1494,1473,,,,,,,1.4256619145
6136,2351,1,2404,2321,,,,1,,,3.5760448083
6146,8850,0,9004,8860,,,,,,,1.625282167
6201,5750,0,5888,5660,,,,,,,4.0282685512
6256,4630,1,4761,4590,,,,1,,,3.7254901961
6268,2311,0,2365,2306,,,,,,,2.5585429315
6273,27610,0,28530,27285,,,,,,,4.562946674
6289,1540,1,1565,1525,,,,1,,,2.6229508197
6301,1994,0,2004,1999,,,,,,,0.2501250625
6302,502,0,514,487,,,,,,,5.5441478439
6305,1706,0,1732,1683,,,,,,,2.9114676173
6326,1831,0,1864,1824,,,,,,,2.1929824561
6361,476,0,479,459,,,,,,,4.3572984749
6366,832,0,853,835,,,,,,,2.1556886228
6367,6985,0,7110,6881,,,,,,,3.3280046505
6370,2520,0,2522,2543,,,,,,,-0.8257963036
6371,904,0,919,878,,,,,,,4.6697038724
6395,1546,0,1596,1493,,,,,,,6.898861353
6412,2313,0,2349,2263,,,,,,,3.8002651348
6417,4575,1,4619,4590,,1,,1,1,,0.6318082789
