銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1062,1104,1062.288,1063,1114,1027,567000,90676,85381866,2.82,30.0,8.64,0.71,122.95,1504.71,106200,100,1491,1027
1605,国際石油開発帝石(株),1123,1150,1122.9999,1097,1174,1074,11253500,1642189,1462323600,1.6,18.0,23.43,0.53,47.93,2100.26,112300,100,1556,1074
1719,安藤ハザマ,704,707,704.196,681,740,663,2990400,130387,185209189,1.42,10.0,12.4,1.96,56.79,358.66,70400,100,799,605
1721,コムシスホールディングス(株),1434,1510,1434.2392,1453,1511,1430,1475500,209332,145977886,2.44,35.0,9.64,0.86,148.78,1676.3,143400,100,1918,1381
1722,ミサワホーム(株),817,835,817.0967,815,869,781,451500,31650,38738914,2.45,20.0,7.63,0.94,107.09,870.06,81700,100,1182,781
1801,大成建設(株),738,760,738.1039999999999,736,779,720,18643000,864396,1171268860,1.08,8.0,20.56,1.75,35.9,422.2,738000,1000,856,648
1802,(株)大林組,963,989,963.0290000000001,959,1017,932,7656000,694814,721509646,1.04,10.0,23.05,1.34,41.78,716.38,963000,1000,1098,717
1808,(株)長谷工コーポレーション,1346,1357,1345.9308,1310,1438,1308,6368500,404869,300794397,0.74,10.0,11.56,2.71,116.43,496.74,134600,100,1699,923
1812,鹿島,624,643,623.9128,628,659,617,11487000,659763,1057312022,0.96,6.0,25.91,1.47,24.08,424.2,624000,1000,730,449
1878,大東建託(株),12315,12735,12317.776899999999,12450,12835,12130,590100,976880,79324379,3.24,399.0,15.29,3.99,805.61,3085.68,1231500,100,14590,11860
1881,(株)ＮＩＰＰＯ,1878,1992,1878.399,1912,1977,1862,762000,224237,119401836,1.33,25.0,10.17,0.91,184.7,2073.99,1878000,1000,2254,1596
1911,住友林業(株),1275,1315,1274.8422,1255,1322,1254,939600,226198,177410239,1.88,24.0,11.58,0.94,110.09,1359.99,127500,100,1664,1060
1925,大和ハウス工業(株),2726,2861,2726.5638,2750,2882,2716,3824700,1816165,666238205,2.57,70.0,14.37,1.59,189.74,1710.73,272600,100,3362,2120
1928,積水ハウス(株),1669,1771,1669.6900999999998,1683,1760,1667,7820300,1184817,709683466,3.23,54.0,12.61,1.12,132.41,1496.47,166950,100,2115,1472
1951,(株)協和エクシオ,1177,1220,1176.52,1179,1229,1160,677100,138665,117812419,2.72,32.0,8.78,0.79,134.0,1481.89,117700,100,1543,1141
1952,新日本空調(株),894,930,894.2629999999999,870,959,855,34600,22602,25282225,2.24,20.0,13.18,0.6,67.85,1496.53,89400,100,1212,855
1963,日揮(株),1722,1798,1723.1124,1735,1822,1710,3197000,446219,259052929,2.32,40.0,10.87,1.11,158.52,1556.44,1722500,1000,2585,1710
1983,東芝プラントシステム(株),1153,1195,1153.0584,1144,1214,1122,619400,112598,97656888,3.25,37.5,9.36,0.96,123.19,1206.53,115300,100,1882,1122
2002,(株)日清製粉グループ本社,1554,1608,1553.7443999999998,1568,1638,1550,1822000,472972,304357891,1.54,24.0,29.08,1.27,53.43,1228.17,155400,100,1880,1187
2121,(株)ミクシィ,4020,4010,4018.1631000000007,3870,4345,3750,6469500,338868,84295500,3.21,129.0,6.23,5.0,644.97,803.38,402000,100,6670,3750
2131,(株)アコーディア・ゴルフ,1158,1188,1157.7665,1150,1207,1122,689400,98128,84739000,3.11,36.0,19.91,1.77,58.15,652.57,115800,100,1337,1077
2181,テンプホールディングス(株),4790,4840,4790.9469,4770,5030,4620,574500,363204,75825567,0.75,36.0,23.07,3.41,207.67,1403.16,479000,100,5770,3655
2229,カルビー(株),4325,4405,4324.6984,4155,4535,4055,1528400,578105,133665800,0.76,33.0,36.52,5.26,118.42,822.42,432500,100,5700,4050
2267,(株)ヤクルト本社,6410,6630,6409.604399999999,6400,6730,6240,1040400,1127584,175910218,0.78,50.0,38.51,3.23,166.44,1987.08,641000,100,9030,6100
2269,明治ホールディングス(株),17960,18530,17957.783600000002,18000,19290,17650,636900,1371097,76341700,0.61,110.0,26.44,3.39,679.19,5292.99,1796000,100,21320,10690
2282,日本ハム(株),2636,2724,2636.4195000000004,2681,2780,2634,2061000,537744,204000000,1.52,40.0,19.89,1.51,132.55,1740.54,2636000,1000,3235,2464
2294,(株)柿安本店,1800,1835,1800.4474,1750,1850,1712,35000,22404,12446700,2.33,42.0,15.02,1.55,119.87,1161.39,180000,100,2036,1712
2317,(株)システナ,1061,1136,,1040,1136,1024,184000,29899,28180000,3.02,32.0,,2.08,,508.93,106100,100,1305,835
2327,新日鉄住金ソリューションズ(株),4080,4205,4080.4568000000004,4135,4345,4060,169800,216236,52999120,1.72,70.0,17.57,1.99,232.24,2048.78,408000,100,5260,2750
2331,ＡＬＳＯＫ,4735,4615,4735.360000000001,4495,4925,4480,885000,483160,102040042,0.84,40.0,28.0,2.61,169.12,1815.83,473500,100,5910,2840
2359,(株)コア,780,801,779.9275,780,820,752,24700,11571,14834580,2.56,20.0,17.95,1.46,43.45,534.32,78000,100,947,752
2371,(株)カカクコム,1825,1850,1824.9681999999998,1775,1972,1740,3060800,404737,221773700,,,30.61,15.44,59.62,118.19,182500,100,2177,1580
2395,(株)新日本科学,450,481,449.9968,470,508,426,436600,17899,39776000,,,165.44,1.52,2.72,296.94,45000,100,972,426
2412,(株)ベネフィット・ワン,1917,1958,1917.1584000000003,1810,2100,1776,254900,86541,45144000,1.25,24.0,28.26,7.04,67.84,272.23,191700,100,3080,1225
2413,エムスリー(株),2573,2654,2572.9438,2504,2764,2452,3747200,832617,323597800,,,73.66,18.1,34.93,142.13,257300,100,3180,1987
2432,(株)ディー・エヌ・エー,2107,2020,,1937,2143,1925,4748500,317757,150810033,,,,1.54,,1371.37,210700,100,2705,1367
2433,(株)博報堂ＤＹホールディングス,1104,1164,1104.2152,1107,1156,1100,1464000,428968,388558100,1.63,18.0,19.69,1.57,56.08,702.58,110400,100,1467,1062
2502,アサヒグループホールディングス(株),3675,3863,3675.5238000000004,3750,3819,3675,3037600,1777178,483585862,1.31,48.0,22.62,1.93,162.49,1903.8,367500,100,4395,3550
2503,キリンホールディングス(株),1634,1698,1634.3292000000001,1640,1704,1620,6235900,1493476,914000000,2.33,38.0,22.26,1.77,73.42,922.8,163400,100,1915,1400
2593,(株)伊藤園,2684,2767,2684.1290000000004,2700,2790,2672,484500,239446,89212380,1.49,40.0,27.35,2.6,98.14,1031.19,268400,100,3140,2075
2651,(株)ローソン,8460,8810,8458.560000000001,8510,8700,8320,793100,848538,100300000,2.9,245.0,24.03,3.35,352.0,2525.06,846000,100,9770,7190
2670,(株)エービーシー・マート,6990,7210,6988.427999999999,6910,7300,6860,341400,547448,78318671,1.43,100.0,20.4,3.32,342.57,2104.43,699000,100,8020,5490
2674,(株)ハードオフコーポレーション,1381,1420,1381.23,1350,1500,1320,89200,19270,13954000,2.53,35.0,14.9,1.57,92.7,880.21,138100,100,1698,920
2681,(株)ゲオホールディングス,1696,1764,1696.3854000000001,1644,1800,1585,572000,92546,54567200,1.89,32.0,19.73,1.37,85.98,1236.77,169600,100,2034,961
2695,(株)くらコーポレーション,3125,3195,3124.2400000000002,2985,3315,2926,204100,64687,20699800,0.38,12.0,19.6,2.56,159.4,1220.17,312500,100,4965,2926
2702,日本マクドナルドホールディングス(株),2564,2607,,2572,2622,2542,668900,340909,132960000,,,,2.91,-285.8,881.47,256400,100,2680,2451
2726,(株)パル,3415,3605,3414.0969,3475,3585,3350,126200,79009,23136000,1.9,65.0,14.01,2.22,243.69,1539.72,341500,100,4445,2880
2768,双日(株),234,246,234.0204,230,252,225,52589700,292851,1251499501,3.42,8.0,7.32,0.49,31.97,478.96,23400,100,329,152
2780,(株)コメ兵,2868,2987,2867.7548,2800,3105,2747,129900,32285,11257000,1.05,30.0,15.38,1.84,186.46,1554.55,286800,100,4095,2747
2782,(株)セリア,5530,5470,5530.616,5250,5700,5160,129300,209698,37920000,0.54,30.0,29.96,6.16,184.6,897.72,553000,100,6290,3300
