Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
6093	0.12	8850	9300	8810	9100	550	6.05	0	8835	エスクロー・エージェント・ジャパン
2269	0.5	17370	18060	17040	18030	840	4.66	1	17607	明治ＨＤ
4587	0.19	14110	14920	14020	14730	590	4.01	1	14389	ペプチドリーム
4307	0.55	4945	5080	4930	5070	195	3.87	1	4972	野村総研
5332	0.54	1681	1744	1681	1744	61	3.56	0	1713	ＴＯＴＯ
8697	0.68	3320	3420	3285	3405	100	2.97	0	3355	日本取引所
4521	0.37	5760	5920	5620	5920	150	2.55	0	5846	科研薬
4832	0.07	1100	1129	1100	1129	25	2.3	0	1116	JFEシステムズ
5401	0.5	229	233	226	233	4	2.15	0	231	新日鉄住金
9375	0.52	4200	4275	4200	4260	85	2.02	0	4217	近鉄エクス
4114	0.37	1611	1637	1588	1637	28	1.77	0	1623	日触媒
4298	0.22	1440	1468	1433	1459	20	1.44	0	1449	プロトコーポレーション
3639	0.22	1491	1562	1460	1518	20	1.38	1	1508	ボルテージ
9432	0.43	8953	9147	8939	9075	122	1.36	1	8821	ＮＴＴ
4761	-0.01	679	679	679	679	8	1.33	0	675	さくらケーシーエス
9422	0.38	1149	1188	1138	1172	7	0.68	0	1168	コネクシオ
3064	0.33	5490	5540	5310	5480	30	0.57	1	5465	モノタロウ
7532	0.35	10460	10630	10460	10500	40	0.39	1	10261	ドンキＨＤ
9787	0.4	3325	3390	3320	3335	10	0.33	0	3330	イオンディラ
9627	0.37	5860	5980	5720	5950	10	0.18	1	5945	アインファマ
9640	0.12	1193	1193	1193	1193	1	0.17	0	1192	セゾン情報システムズ
4793	0.15	871	875	862	871	0	0.11	0	870	富士通ビー・エス・シー
3738	0.31	1769	1804	1754	1790	-1	0.0	0	1790	ティーガイア
9962	0.49	5480	5550	5450	5480	-10	-0.16	1	5475	ミスミＧ
7649	0.44	5560	5620	5450	5590	-10	-0.16	1	5594	スギＨＤ
2871	0.52	712	737	710	724	-3	-0.28	0	725	ニチレイ
3765	0.19	350	357	347	353	-2	-0.28	0	353	ガンホー
7279	0.39	3455	3465	3440	3465	-15	-0.4	0	3472	ハイレックスコーポレーション
9983	0.7	47140	47370	46690	47150	-340	-0.72	1	47320	ファストリ
9069	0.41	820	830	807	810	-7	-0.74	0	813	センコー
8233	0.57	940	954	930	938	-9	-0.85	1	942	高島屋
3391	0.34	10020	10150	9910	10030	-90	-0.89	1	10074	ツルハＨＤ
8043	0.38	317	318	311	313	-4	-0.96	0	314	スターゼン
3349	0.22	13970	14140	13810	13960	-140	-1.0	0	14029	コスモス薬品
4837	0.24	496	497	492	493	-6	-1.01	1	495	シダックス
4708	0.33	1240	1257	1240	1243	-14	-1.05	1	1249	もしもしＨＬ
3641	0.2	3105	3130	2999	3075	-35	-1.11	0	3092	パピレス
2331	0.42	5270	5360	5220	5260	-60	-1.12	0	5289	ALSOK
2782	0.06	5570	5660	5510	5630	-70	-1.23	1	5664	セリア
5949	0.43	2093	2123	2026	2098	-27	-1.24	0	2111	ユニプレス
2897	0.48	5340	5380	5290	5320	-70	-1.3	0	5354	日清食ＨＤ
4188	0.61	610	619	598	604	-9	-1.32	0	608	三菱ケミＨＤ
4689	0.45	454	456	446	450	-7	-1.33	1	453	ヤフー
1802	0.46	1007	1031	993	999	-15	-1.4	1	1006	大林組
4202	0.58	1437	1464	1410	1418	-21	-1.41	1	1428	ダイセル
9684	0.34	2905	2985	2872	2878	-42	-1.42	0	2898	スクウェア・エニックス・ホールディングス
2915	0.36	1540	1545	1510	1532	-23	-1.44	0	1543	ケンコーマヨネーズ
4208	0.44	207	207	203	205	-4	-1.46	0	206	宇部興
2681	0.27	1879	1899	1857	1865	-29	-1.5	0	1879	ゲオＨＤ
2702	0.27	2670	2687	2641	2652	-42	-1.55	1	2672	マクドナルド
2432	0.35	2252	2274	2212	2238	-38	-1.65	1	2256	ディーエヌエ
2875	0.45	4415	4500	4385	4410	-75	-1.68	1	4447	東洋水
4666	0.26	2256	2259	2205	2233	-39	-1.7	1	2252	パーク２４
1801	0.5	772	787	761	766	-14	-1.7	1	772	大成建
9086	0.45	1952	1960	1911	1946	-35	-1.75	1	1963	日立物流
8544	0.58	624	624	610	617	-12	-1.78	1	622	京葉銀
8270	0.5	732	737	722	728	-14	-1.79	0	734	ユニーＧＨＤ
2181	0.38	5100	5220	5050	5140	-100	-1.93	0	5189	テンプＨＤ
7520	0.38	1177	1193	1154	1171	-24	-1.96	1	1182	エコス
5196	0.39	558	558	551	555	-12	-1.98	0	560	鬼ゴム
8840	0.53	201	203	198	200	-5	-2.0	1	202	大京
8056	0.45	1181	1191	1162	1180	-25	-2.03	0	1192	日本ユニシス
5108	0.62	4045	4045	3962	4009	-84	-2.07	0	4050	ブリヂストン
5110	0.54	1639	1640	1607	1621	-35	-2.1	0	1638	住友ゴ
1808	0.53	1382	1398	1369	1387	-31	-2.16	1	1402	長谷工
9719	0.47	4330	4375	4260	4290	-95	-2.19	1	4337	ＳＣＳＫ
2294	0.19	1863	1868	1820	1822	-41	-2.2	0	1842	柿安本店
7451	0.44	2650	2700	2650	2675	-60	-2.21	1	2704	三菱食品
9682	0.4	2753	2792	2742	2764	-62	-2.21	1	2794	DTS
3512	0.47	493	495	486	486	-12	-2.26	0	491	日本フェルト
2593	0.39	2449	2468	2409	2414	-56	-2.28	1	2441	伊藤園
8267	0.48	1808	1818	1781	1796	-42	-2.28	1	1817	イオン
9005	0.58	879	881	866	868	-21	-2.3	1	878	東急
1721	0.44	1403	1409	1379	1383	-33	-2.31	0	1399	コムシスＨＤ
4755	0.45	1479	1484	1452	1470	-35	-2.31	1	1487	楽天
4716	0.45	4940	4985	4875	4925	-115	-2.31	1	4982	日本オラクル
5012	0.32	1133	1137	1112	1119	-27	-2.32	0	1132	東燃ゼネ
3088	0.37	5240	5280	5100	5130	-120	-2.32	1	5189	マツキヨＨＤ
8332	0.63	698	705	681	689	-17	-2.32	0	697	横浜銀
4681	0.45	2947	2956	2893	2909	-69	-2.34	1	2943	リゾートトラ
8356	0.64	512	512	502	507	-13	-2.37	0	513	十六銀
7014	0.49	851	878	841	842	-21	-2.38	1	852	名村造
5970	0.4	1323	1332	1295	1305	-32	-2.38	0	1320	ジーテクト
6473	0.59	1614	1614	1577	1593	-39	-2.39	0	1612	ジェイテクト
7313	0.44	3100	3120	3055	3085	-75	-2.4	0	3122	ＴＳテック
9021	0.51	7375	7567	7304	7313	-177	-2.41	0	7401	ＪＲ西日本
5631	0.53	378	379	372	373	-10	-2.41	0	377	日製鋼
8524	0.56	456	458	445	454	-12	-2.42	0	459	北洋銀
9531	0.51	587	592	577	577	-15	-2.43	0	584	東ガス
7278	0.5	2600	2620	2535	2549	-63	-2.43	0	2580	エクセディ
3116	0.54	1937	1937	1883	1928	-49	-2.49	0	1952	トヨタ紡織
4283	0.53	3820	3825	3765	3775	-95	-2.49	0	3942	パナソニックIS
8566	0.59	3220	3235	3155	3175	-80	-2.49	1	3214	リコーリース
4927	0.4	7200	7220	7090	7160	-180	-2.5	1	7249	ポーラ・オルビスホールディングス
7205	0.63	1220	1226	1189	1196	-31	-2.51	0	1211	日野自
9831	0.36	483	484	475	477	-13	-2.52	1	483	ヤマダ電
4704	0.63	4190	4195	4085	4120	-105	-2.52	0	4172	トレンド
9001	0.56	522	523	511	513	-14	-2.53	1	519	東武
2651	0.4	8610	8760	8490	8540	-220	-2.56	1	8649	ローソン
5714	0.57	910	910	891	895	-24	-2.57	0	906	ＤＯＷＡ
8424	0.53	4490	4530	4395	4440	-115	-2.57	1	4497	芙蓉リース
9948	0.39	2207	2209	2161	2170	-57	-2.58	1	2198	アークス
4201	0.42	735	753	732	735	-20	-2.59	0	744	日合成
5186	0.66	2854	2874	2781	2782	-74	-2.62	0	2818	ニッタ
4555	0.46	6900	6950	6780	6820	-180	-2.62	0	6909	沢井製薬
3636	0.46	3025	3065	2979	2990	-80	-2.64	1	3029	三菱総合研究所
5393	0.42	720	725	701	709	-20	-2.68	0	718	ニチアス
8377	0.64	264	265	256	260	-8	-2.69	1	263	ほくほくＦＧ
9532	0.49	454	457	445	446	-13	-2.69	0	452	大ガス
4842	0.26	302	303	294	296	-9	-2.7	1	300	ＵＳＥＮ
7211	0.44	893	896	882	883	-25	-2.72	0	895	三菱自
7988	0.52	4025	4060	3980	3980	-110	-2.74	0	4034	ニフコ
5105	0.48	2550	2552	2491	2509	-70	-2.75	0	2543	洋ゴム
