Code,Prev,Trend,Pred,Close,Pred-D,Pred-U,Errata-D,Errata-U,Correct,Trend-Correct,Pred-Ratio,Trend-Ratio,Trend-Correct-Ratio,Total-Correct-Ratio,Predict-mean,Predict-max,Predict-min
1417.0,1057.0,1.0,1068.0,1053.0,0.0,1.0,0.0,0.0,0.0,0.0,1.424501424501429,,,,,,
1605.0,1113.0,1.0,1118.0,1084.0,0.0,1.0,0.0,0.0,0.0,0.0,3.136531365313644,,,,,,
1719.0,736.0,1.0,738.0,715.0,0.0,1.0,0.0,0.0,0.0,0.0,3.2167832167832273,,,,,,
1721.0,1438.0,1.0,1460.0,1372.0,0.0,1.0,0.0,0.0,0.0,0.0,6.413994169096199,,,,,,
1722.0,795.0,1.0,816.0,771.0,0.0,1.0,0.0,0.0,0.0,0.0,5.836575875486389,,,,,,
1801.0,766.0,1.0,769.0,747.0,0.0,1.0,0.0,0.0,0.0,0.0,2.9451137884872765,,,,,,
1802.0,988.0,1.0,990.0,975.0,0.0,1.0,0.0,0.0,0.0,0.0,1.538461538461533,,,,,,
1808.0,1323.0,0.0,1328.0,1309.0,0.0,0.0,0.0,0.0,0.0,1.0,1.451489686783816,,,,,,
1812.0,635.0,1.0,639.0,624.0,0.0,1.0,0.0,0.0,0.0,0.0,2.403846153846146,,,,,,
1878.0,12320.0,1.0,12362.0,12150.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7448559670781805,,,,,,
1881.0,2077.0,1.0,2076.0,2001.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7481259370314888,,,,,,
1911.0,1373.0,1.0,1380.0,1326.0,0.0,1.0,0.0,0.0,0.0,0.0,4.072398190045263,,,,,,
1925.0,2959.0,1.0,3017.0,2874.0,0.0,1.0,0.0,0.0,0.0,0.0,4.975643702157257,,,,,,
1928.0,1822.0,1.0,1833.0,1814.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0474090407938377,,,,,,
1951.0,1193.0,1.0,1201.0,1149.0,0.0,1.0,0.0,0.0,0.0,0.0,4.525674499564843,,,,,,
1952.0,984.0,1.0,986.0,960.0,0.0,1.0,0.0,0.0,0.0,0.0,2.7083333333333286,,,,,,
1963.0,1696.0,1.0,1722.0,1621.0,0.0,1.0,0.0,0.0,0.0,0.0,6.230721776681065,,,,,,
1983.0,1246.0,0.0,1254.0,1230.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9512195121951237,,,,,,
2002.0,1604.0,1.0,1618.0,1615.0,0.0,1.0,0.0,1.0,1.0,1.0,0.18575851393190135,,,,,,
2121.0,4155.0,1.0,4150.0,3970.0,0.0,0.0,0.0,0.0,0.0,0.0,4.534005037783388,,,,,,
2131.0,1173.0,0.0,1174.0,1150.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0869565217391397,,,,,,
