Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
1417,1071,1,1071,1061,,,,1,,,0.9425070688,
1605,1141,0,1144,1084,,,,,,,5.5350553506,1
1719,736,1,745,761,,1,,1,1,,-2.1024967148,1
1721,1475,1,1486,1454,,,,1,,,2.2008253095,
1722,788,0,782,784,1,,1,,1,,-0.2551020408,1
1801,785,1,789,789,,1,,1,1,,0,1
1802,1013,1,1014,1023,,1,,1,1,,-0.8797653959,1
1808,1361,0,1352,1334,1,,1,,1,,1.3493253373,1
1812,655,1,654,655,,,,,,,-0.1526717557,1
1878,12280,1,12225,12230,,,,,,,-0.0408830744,
1881,2035,1,2059,2032,,,,1,,,1.3287401575,
1911,1362,0,1344,1347,1,,1,,1,,-0.2227171492,1
1925,3048,1,2993,3032,,,,,,,-1.2862796834,
1928,1809,0,1786,1827,,,1,,,,-2.2441160372,
1951,1178,1,1187,1183,,1,,1,1,,0.338123415,1
1952,956,1,956,956,,1,,1,1,,0,1
1963,1750,0,1762,1713,,,,,,,2.8604786924,1
1983,1238,0,1243,1257,,,,,,,-1.1137629276,
2121,4105,1,4144,4035,,,,1,,,2.7013630731,
2131,1196,1,1187,1199,,,,,,,-1.0008340284,1
2181,4790,0,4777,5070,,,1,,,,-5.7790927022,
2229,4115,0,4124,4045,,,,,,,1.9530284302,1
2267,5920,0,5890,5870,1,,1,,1,,0.3407155026,1
2269,17050,0,17015,16710,1,,1,,1,,1.8252543387,1
2282,2600,0,2602,2562,,,,,,,1.5612802498,1
2294,1838,0,1833,1871,,,1,,,,-2.0309994655,
2317,1189,1,1166,1178,,,,,,,-1.0186757216,
2327,4645,0,4586,4870,,,1,,,,-5.8316221766,
2331,5250,1,5220,5250,,,,,,,-0.5714285714,1
2359,791,0,788,789,1,,1,,1,,-0.1267427123,1
2371,1814,0,1800,1827,,,1,,,,-1.4778325123,
2395,437,0,427,419,1,,1,,1,,1.9093078759,1
2412,2169,1,2116,2295,,,,,,,-7.7995642702,1
2413,2452,0,2427,2420,1,,1,,1,,0.2892561983,1
2432,2361,1,2327,2356,,,,,,,-1.2308998302,
