銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1152,1108,1152.0415,1153,1182,1147,296400,98360,85381866,2.6,30.0,9.37,0.77,122.95,1504.71,115200,100,1491,1027
1605,国際石油開発帝石(株),1229,1164,1229.4044999999999,1222,1267,1214,11122400,1797927,1462323600,1.46,18.0,25.65,0.59,47.93,2100.26,122950,100,1556,1074
1719,安藤ハザマ,782,754,781.9983,784,789,770,3004400,144834,185209189,1.28,10.0,13.77,2.18,56.79,358.66,78200,100,799,605
1721,コムシスホールディングス(株),1524,1505,1523.5072,1534,1544,1516,991400,222470,145977886,2.3,35.0,10.24,0.91,148.78,1676.3,152400,100,1918,1381
1722,ミサワホーム(株),863,837,863.1454000000001,853,873,843,199800,33432,38738914,2.32,20.0,8.06,0.99,107.09,870.06,86300,100,1182,781
1801,大成建設(株),818,787,818.161,826,827,808,18323000,958098,1171268860,0.98,8.0,22.79,1.94,35.9,422.2,818000,1000,856,648
1802,(株)大林組,1054,1025,1054.1094,1062,1070,1047,9374000,760471,721509646,0.95,10.0,25.23,1.47,41.78,716.38,1054000,1000,1098,717
1808,(株)長谷工コーポレーション,1462,1458,1462.3608000000002,1484,1490,1439,3408100,439761,300794397,0.68,10.0,12.56,2.94,116.43,496.74,146200,100,1699,923
1812,鹿島,685,661,685.0759999999999,678,685,671,8197000,724259,1057312022,0.88,6.0,28.45,1.61,24.08,424.2,685000,1000,730,449
1878,大東建託(株),13255,12965,13252.2845,13265,13350,13190,332600,1051445,79324379,3.01,399.0,16.45,4.3,805.61,3085.68,1325500,100,14590,11860
1881,(株)ＮＩＰＰＯ,2049,1982,2048.323,2029,2064,2014,245000,244654,119401836,1.22,25.0,11.09,0.99,184.7,2073.99,2049000,1000,2254,1596
1911,住友林業(株),1350,1325,1349.7034,1360,1362,1337,612700,239504,177410239,1.78,24.0,12.26,0.99,110.09,1359.99,135000,100,1664,1060
1925,大和ハウス工業(株),2994,2907,2994.0972,3007,3034,2955,2272500,1994717,666238205,2.34,70.0,15.78,1.75,189.74,1710.73,299400,100,3362,2120
1928,積水ハウス(株),1812,1770,1812.6928999999998,1820,1821,1790,2617700,1286301,709683466,2.98,54.0,13.69,1.21,132.41,1496.47,181250,100,2115,1472
1951,(株)協和エクシオ,1247,1224,1247.54,1259,1259,1238,570700,146912,117812419,2.57,32.0,9.31,0.84,134.0,1481.89,124700,100,1543,1141
1952,新日本空調(株),992,942,991.9669999999999,1000,1000,962,17300,25080,25282225,2.02,20.0,14.62,0.66,67.85,1496.53,99200,100,1212,855
1963,日揮(株),1833,1726,1832.4912000000002,1794,1858,1790,3010000,474844,259052929,2.18,40.0,11.56,1.18,158.52,1556.44,1833000,1000,2585,1694
1983,東芝プラントシステム(株),1303,1213,1303.3502,1250,1306,1243,1048700,127247,97656888,2.88,37.5,10.58,1.08,123.19,1206.53,130300,100,1882,1122
2002,(株)日清製粉グループ本社,1675,1641,1675.0305,1678,1700,1630,2517100,509799,304357891,1.43,24.0,31.35,1.36,53.43,1228.17,167500,100,1880,1187
2121,(株)ミクシィ,4330,4275,4327.7487,4350,4390,4275,2312200,365000,84295500,2.98,129.0,6.71,5.39,644.97,803.38,433000,100,6670,3750
2131,(株)アコーディア・ゴルフ,1233,1214,1232.78,1240,1249,1212,832800,104483,84739000,2.92,36.0,21.2,1.89,58.15,652.57,123300,100,1337,1077
2181,テンプホールディングス(株),5300,4960,5299.738399999999,5210,5360,5200,371700,401876,75825567,0.68,36.0,25.52,3.78,207.67,1403.16,530000,100,5770,3655
2229,カルビー(株),4630,4590,4630.222000000001,4715,4715,4570,764100,618873,133665800,0.71,33.0,39.1,5.63,118.42,822.42,463000,100,5700,4050
2267,(株)ヤクルト本社,6860,6790,6860.6568,6930,6940,6770,579700,1206744,175910218,0.73,50.0,41.22,3.45,166.44,1987.08,686000,100,9030,6100
2269,明治ホールディングス(株),19670,19200,19669.3424,19600,19700,19150,438700,1501641,76341700,0.56,110.0,28.96,3.72,679.19,5292.99,1967000,100,21320,10690
2282,日本ハム(株),2798,2772,2798.1305,2822,2822,2732,1482000,570792,204000000,1.43,40.0,21.11,1.61,132.55,1740.54,2798000,1000,3235,2464
2294,(株)柿安本店,1890,1877,1890.3499,1877,1898,1877,7900,23524,12446700,2.22,42.0,15.77,1.63,119.87,1161.39,189000,100,2036,1712
2317,(株)システナ,1121,1100,,1140,1140,1105,75100,31590,28180000,2.85,32.0,,2.2,,508.93,112100,100,1305,835
2327,新日鉄住金ソリューションズ(株),4665,4510,4665.7016,4615,4705,4540,165900,247241,52999120,1.5,70.0,20.09,2.28,232.24,2048.78,466500,100,5260,2750
2331,ＡＬＳＯＫ,5070,5050,5070.2176,5140,5200,5030,662300,517343,102040042,0.79,40.0,29.98,2.79,169.12,1815.83,507000,100,5910,2840
2359,(株)コア,833,813,832.9365000000001,830,837,825,4800,12357,14834580,2.4,20.0,19.17,1.56,43.45,534.32,83300,100,947,752
2371,(株)カカクコム,1934,1919,1934.0727999999997,1975,1978,1906,1333100,428910,221773700,,,32.44,16.36,59.62,118.19,193400,100,2177,1580
2395,(株)新日本科学,490,473,490.00800000000004,489,491,480,195700,19490,39776000,,,180.15,1.65,2.72,296.94,49000,100,972,426
