Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
6093	0.13	8850	9300	8810	9100	550	6.05	0	8835	エスクロー・エージェント・ジャパン
3903	0.12	1324	1420	1272	1400	61	4.43	1	1369	gumi
2371	0.36	1818	1856	1763	1854	76	4.15	1	1816	カカクコム
4587	0.19	14110	14920	14020	14730	590	4.01	1	14389	ペプチドリーム
7593	0.26	670	696	669	694	21	3.17	1	683	ＶＴＨＤ
3092	0.39	3495	3640	3485	3615	110	3.07	1	3560	スタートトゥ
7248	0.49	859	888	841	884	24	2.83	1	872	カルソカンセ
9600	0.42	1223	1260	1217	1254	33	2.71	0	1237	アイネット
9031	0.53	605	611	600	601	15	2.66	1	593	西鉄
3231	0.52	2261	2321	2240	2297	59	2.61	1	2267	野村不ＨＤ
7177	0.37	741	760	741	757	16	2.25	1	749	GMOクリックホールディングス
4719	0.4	1873	1911	1854	1900	40	2.16	1	1880	アルファシステムズ
2915	0.36	1560	1587	1535	1580	31	2.03	1	1564	ケンコーマヨネーズ
2294	0.2	1833	1869	1829	1854	34	1.89	0	1837	柿安本店
3382	0.62	5161	5254	5104	5158	92	1.8	1	5111	セブン＆アイ
9086	0.45	1942	2020	1935	1972	26	1.37	1	1959	日立物流
9432	0.44	8953	9147	8939	9075	122	1.36	1	8821	ＮＴＴ
2782	0.06	5390	5390	5280	5370	70	1.32	0	5335	セリア
4812	0.41	1590	1618	1539	1598	19	1.25	1	1588	電通国際情報サービス
7278	0.5	2788	2855	2735	2829	32	1.17	1	2813	エクセディ
6256	0.24	4625	4625	4570	4620	50	1.1	1	4595	ニューフレア
6473	0.59	1818	1847	1781	1839	19	1.09	1	1829	ジェイテクト
8848	0.41	539	550	526	549	5	1.09	1	546	レオパレス
5986	0.49	286	287	282	286	2	1.05	0	285	パイオラックス
5929	0.49	888	905	869	903	8	1.0	1	899	三和ホールディングス
5949	0.43	2233	2293	2178	2282	20	0.92	1	2272	ユニプレス
7211	0.45	968	987	951	982	8	0.92	0	978	三菱自
7628	0.47	1294	1305	1279	1304	11	0.92	1	1298	オーハシテクニカ
3817	0.46	2090	2115	2058	2105	18	0.9	1	2096	SRAホールディングス
3788	0.36	752	752	725	729	5	0.82	1	726	GMOクラウド
3905	0.16	522	526	514	519	3	0.77	0	517	データセクション
9936	0.36	4070	4110	4030	4110	30	0.75	0	4095	王将フード
4832	0.06	1142	1155	1142	1143	7	0.7	1	1139	JFEシステムズ
8304	0.46	435	439	434	436	2	0.69	0	435	あおぞら銀
4676	0.33	1450	1468	1425	1468	9	0.68	0	1463	フジＨＤ
4751	0.38	4855	4920	4755	4830	30	0.64	1	4815	サイバー
6754	0.32	785	800	779	792	4	0.63	0	790	アンリツ
7988	0.52	4335	4405	4260	4395	25	0.59	1	4382	ニフコ
9627	0.37	5370	5540	5310	5500	30	0.56	1	5485	アインファマ
8897	0.44	555	565	538	560	2	0.54	1	559	タカラレーベ
4521	0.37	5900	6080	5850	5920	30	0.52	1	5905	科研薬
6094	0.07	1196	1270	1166	1171	5	0.51	1	1168	フリークアウト
9640	0.13	1245	1245	1226	1240	5	0.48	0	1237	セゾン情報システムズ
3911	0.19	1304	1333	1261	1313	5	0.46	1	1310	Aiming
4755	0.45	1516	1534	1494	1522	6	0.46	1	1519	楽天
