Code	Corr	Open	High	Low	Close	Change	Ratio	Trend	Pred	Name
6037	0.25	2074	2220	2051	2210	196	8.91	1	2118	ファーストロジック
4832	0.06	1159	1198	1158	1190	89	7.56	0	1145	JFEシステムズ
6256	0.26	4590	4760	4505	4680	300	6.43	0	4530	ニューフレア
3903	0.04	1300	1320	1185	1215	73	6.09	1	1178	gumi
6093	0.17	8850	9300	8810	9100	550	6.05	0	8850	エスクロー・エージェント・ジャパン
2801	0.6	3695	3880	3670	3845	220	5.75	0	3736	キッコマン
7309	0.47	15320	15960	15310	15610	880	5.64	1	15173	シマノ
3141	0.27	5320	5520	5280	5340	300	5.64	1	5194	ウエルシア
9843	0.43	9460	9970	9460	9810	550	5.62	1	9540	ニトリＨＤ
4348	0.28	1130	1176	1123	1149	63	5.57	1	1118	インフォコム
2809	0.33	2520	2641	2510	2590	139	5.41	1	2522	キユーピー
8697	0.66	3635	3725	3630	3690	185	5.04	1	3599	日本取引所
7276	0.49	4020	4120	3995	4025	200	4.99	1	3926	小糸製
9682	0.39	2647	2718	2642	2691	129	4.83	1	2627	DTS
1802	0.43	993	1036	991	1025	48	4.78	1	1001	大林組
2331	0.4	4975	5140	4960	5050	240	4.77	1	4933	ALSOK
2269	0.46	18820	19490	18740	19200	890	4.64	1	18765	明治ＨＤ
4927	0.33	7200	7260	7040	7120	320	4.51	1	6963	ポーラ・オルビスホールディングス
1925	0.57	2853	2944	2846	2907	130	4.51	1	2843	ハウス
3659	0.35	1585	1636	1573	1595	70	4.45	1	1563	ネクソン
7741	0.49	4608	4765	4608	4695	199	4.26	1	4596	ＨＯＹＡ
4544	0.5	5120	5330	5120	5220	220	4.23	1	5111	みらかＨＤ
3626	0.36	2700	2777	2700	2751	115	4.22	1	2694	ITホールディングス
2681	0.29	1769	1831	1751	1788	74	4.19	1	1752	ゲオＨＤ
8766	0.57	4763	4863	4730	4784	198	4.16	1	4687	東京海上
4298	0.18	1680	1735	1678	1710	70	4.15	1	1675	プロトコーポレーション
3788	0.39	767	790	757	776	31	4.12	1	760	GMOクラウド
6460	0.4	1240	1271	1237	1264	51	4.11	1	1238	セガサミー
7240	0.5	2908	2977	2891	2948	120	4.1	1	2888	ＮＯＫ
4452	0.45	5560	5716	5560	5617	228	4.08	1	5504	花王
9437	0.38	2459	2574	2451	2529	102	4.07	1	2478	ＮＴＴドコモ
2802	0.52	2527	2598	2522	2571	103	4.05	1	2520	味の素
2229	0.38	4500	4645	4500	4590	185	4.05	1	4498	カルビー
8508	0.26	980	999	967	995	39	4.02	1	975	Ｊトラスト
4587	0.19	14110	14920	14020	14730	590	4.01	1	14495	ペプチドリーム
4641	0.31	2405	2483	2405	2453	97	4	1	2407	アルプス技研
3391	0.29	9490	9880	9460	9770	390	4	1	9578	ツルハＨＤ
2502	0.41	3775	3901	3740	3863	153	3.99	1	3787	アサヒ
4202	0.5	1538	1595	1532	1557	61	3.98	1	1526	ダイセル
2282	0.36	2707	2789	2707	2772	107	3.9	1	2718	日ハム
9739	0.41	992	993	956	968	36	3.82	1	950	NSW
4206	0.48	2479	2587	2450	2529	94	3.76	1	2482	アイカ
7177	0.3	725	731	722	726	26	3.72	1	713	GMOクリックホールディングス
9640	0.11	1187	1200	1187	1200	43	3.67	1	1178	セゾン情報システムズ
1719	0.34	749	772	749	754	26	3.58	1	741	安藤ハザマ
1928	0.47	1741	1785	1739	1770	62	3.56	1	1739	積ハウス
2267	0.47	6780	6910	6730	6790	240	3.55	1	6672	ヤクルト
2412	0.25	2200	2242	2110	2171	76	3.55	1	2137	ベネフィット・ワン
9989	0.35	6680	6880	6660	6820	240	3.53	1	6702	サンドラッグ
8876	0.38	12650	12650	12210	12260	430	3.52	1	12054	リロＨＬＤ
2327	0.4	4425	4625	4370	4510	155	3.46	1	4434	新日鉄住金ソリューションズ
6952	0.42	2320	2375	2264	2332	78	3.39	1	2293	カシオ
2897	0.41	5590	5730	5550	5680	190	3.36	0	5585	日清食ＨＤ
4188	0.54	694	707	690	695	22	3.31	1	684	三菱ケミＨＤ
8439	0.56	3580	3690	3570	3655	120	3.31	1	3596	ＴＣリース
8897	0.39	495	507	488	494	15	3.24	1	486	タカラレーベ
1808	0.48	1447	1484	1445	1458	46	3.22	1	1435	長谷工
8905	0.45	2011	2047	2002	2017	64	3.22	1	1985	イオンモール
8253	0.58	2383	2435	2377	2400	76	3.21	1	2362	クレセゾン
8218	0.35	2620	2692	2609	2658	84	3.2	1	2616	コメリ
8358	0.6	2285	2347	2280	2310	73	3.2	1	2274	スルガ銀
5233	0.37	398	413	397	407	12	3.19	1	401	太平洋セメ
8570	0.54	2762	2783	2696	2735	86	3.18	1	2693	イオンＦＳ
9719	0.47	4290	4350	4245	4285	135	3.17	1	4218	ＳＣＳＫ
4272	0.5	1202	1222	1187	1214	37	3.13	1	1195	日化薬
7245	0.46	1048	1076	1037	1059	32	3.12	1	1043	大同メ
8129	0.3	2606	2721	2606	2636	80	3.07	1	2596	東邦ＨＤ
4634	0.61	452	464	450	461	13	3.04	1	454	洋インキＨＤ
7649	0.37	5700	5810	5670	5740	170	2.98	1	5655	スギＨＤ
6755	0.3	1476	1516	1475	1485	43	2.96	1	1464	富士通ゼ
4201	0.38	843	859	825	846	24	2.96	1	834	日合成
3197	0.26	1755	1775	1737	1765	51	2.95	1	1739	すかいらーく
4543	0.68	3240	3300	3225	3255	95	2.95	1	3207	テルモ
5947	0.28	8810	9120	8770	8920	260	2.93	1	8791	リンナイ
1801	0.46	780	795	770	787	22	2.92	1	776	大成建
6758	0.42	3083	3136	3043	3051	88	2.92	1	3007	ソニー
8411	0.65	244	245	240	242	6	2.89	1	239	みずほＦＧ
4681	0.37	3130	3200	3105	3150	90	2.89	1	3106	リゾートトラ
7593	0.18	685	701	682	692	19	2.89	1	682	ＶＴＨＤ
8750	0.58	2174	2219	2152	2186	62	2.88	1	2155	第一生命
2695	0.33	3340	3380	3305	3330	95	2.88	1	3283	くらコーポレーション
4761	-0.1	662	662	660	661	18	2.87	1	652	さくらケーシーエス
7459	0.48	2048	2109	2048	2065	57	2.81	1	2037	メディパル
2503	0.48	1700	1737	1682	1719	47	2.79	1	1696	キリンＨＤ
1721	0.36	1488	1510	1471	1505	41	2.79	1	1484	コムシスＨＤ
8020	0.48	184	184	178	180	4	2.78	1	178	兼松
5012	0.22	1143	1164	1131	1151	31	2.78	1	1135	東燃ゼネ
3291	0.35	2008	2058	1999	2023	55	2.77	1	1997	飯田ＧＨＤ
8424	0.47	4570	4630	4530	4560	125	2.76	1	4498	芙蓉リース
9603	0.33	4070	4090	4010	4040	110	2.75	1	3985	ＨＩＳ
2875	0.41	4345	4525	4330	4415	120	2.74	0	4355	東洋水
3048	0.22	1200	1222	1171	1179	31	2.71	1	1163	ビックカメラ
8933	0.5	1097	1132	1097	1113	29	2.7	1	1098	ＮＴＴ都市
