Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
1417,1082,0,1061,1103,,,1,,,,-3.8077969175,
1605,1063,0,1046,1090,,,1,,,,-4.0366972477,
1719,763,0,749,768,,,1,,,,-2.4739583333,
1721,1422,0,1402,1409,1,,1,,1,,-0.4968062456,1
1722,723,0,719,718,1,,1,,1,,0.139275766,1
1801,778,0,772,751,1,,1,,1,,2.7962716378,1
1802,1018,0,1008,1014,1,,1,,1,,-0.5917159763,1
1808,1350,0,1368,1340,,,,,,,2.0895522388,1
1812,633,0,628,624,1,,1,,1,,0.641025641,1
1878,12125,0,12077,12370,,,1,,,,-2.3686337914,
1881,2035,0,2009,2069,,,1,,,,-2.8999516675,
1911,1334,0,1322,1351,,,1,,,,-2.1465581051,
1925,2947,0,2903,3004,,,1,,,,-3.362183755,
1928,1865,0,1846,1903,,,1,,,,-2.9952706253,
1951,1153,0,1136,1154,,,1,,,,-1.5597920277,
1952,955,0,943,969,,,1,,,,-2.6831785346,
1963,1583,0,1573,1590,,,1,,,,-1.0691823899,
1983,1168,0,1155,1184,,,1,,,,-2.4493243243,
2002,1733,0,1696,1720,1,,1,,1,,-1.3953488372,1
2121,4080,0,4015,4275,,,1,,,,-6.081871345,
2131,1080,0,1078,1057,1,,1,,1,,1.9867549669,1
2181,5440,0,5291,5390,1,,1,,1,,-1.8367346939,1
2229,3855,0,3814,3925,,,1,,,,-2.8280254777,
2267,5940,0,5874,6030,,,1,,,,-2.5870646766,
2269,18030,1,17607,18030,,,,,,,-2.3460898502,1
2282,2436,0,2428,2455,,,1,,,,-1.099796334,
2294,1850,0,1836,1870,,,1,,,,-1.8181818182,
2317,1099,0,1091,1124,,,1,,,,-2.9359430605,
2327,5040,0,4947,5090,,,1,,,,-2.8094302554,
2331,5440,0,5350,5450,,,1,,,,-1.8348623853,
2359,801,0,790,808,,,1,,,,-2.2277227723,
2371,1934,0,1893,1890,1,,1,,1,,0.1587301587,1
2395,406,0,403,409,,,1,,,,-1.466992665,
2412,2018,0,1981,2000,1,,1,,1,,-0.95,1
2413,2367,0,2318,2373,,,1,,,,-2.3177412558,
2432,2219,0,2228,2178,,,,,,,2.2956841139,1
2433,1131,0,1117,1162,,,1,,,,-3.8726333907,
