,Code,Prev,Trend,Pred,Close
382,8379,686,1,683,672
383,8382,1799,1,1784,1740
384,8385,1360,1,1375,1327
385,8410,518,1,523,501
386,8411,248,1,250,240
387,8418,1498,1,1511,1463
388,8424,4740,1,4764,4570
389,8425,2507,1,2520,2444
390,8439,3745,1,3771,3600
391,8473,1476,1,1494,1423
392,8508,1030,1,1024,1008
393,8515,469,1,470,448
394,8524,488,1,491,475
395,8544,638,1,635,620
396,8566,3395,1,3432,3320
397,8570,2756,0,2730,2655
398,8572,549,1,552,525
399,8586,2921,1,2937,2869
400,8591,1634,1,1642,1561
401,8593,586,1,591,569
402,8601,842,1,846,815
403,8604,766,1,771,743
404,8609,750,1,758,717
405,8616,810,1,821,759
406,8628,1054,1,1054,1021
407,8697,3780,1,3787,3500
408,8729,2274,1,2271,2226
409,8750,2212,1,2218,2128
410,8766,4876,1,4885,4656
411,8795,1634,1,1640,1551
412,8801,3360,1,3395,3241
413,8802,2609,1,2630,2515
414,8830,4101,1,4132,3953
415,8840,190,1,188,184
416,8848,590,1,588,563
417,8870,3195,1,3185,3055
418,8876,12710,1,12580,12020
419,8897,555,1,542,518
420,8905,2045,1,2051,1969
421,8933,1133,1,1138,1106
422,9001,541,1,541,516
423,9003,691,1,693,663
424,9005,861,1,864,831
425,9007,1108,1,1113,1074
426,9008,910,1,916,878
427,9009,1294,1,1308,1258
428,9020,11205,1,11234,10735
429,9021,8188,1,8188,7786
430,9022,19885,1,19921,18900
431,9031,615,1,616,597
432,9041,433,1,433,416
433,9042,728,1,731,700
434,9045,782,1,781,758
435,9048,483,1,486,472
436,9062,588,1,587,562
437,9064,2366,1,2365,2283
438,9065,610,1,607,575
439,9069,855,1,852,824
440,9076,1347,1,1350,1296
441,9086,2050,1,2032,1973
442,9202,355,0,355,340
443,9301,1463,1,1480,1421
444,9364,1016,1,1022,972
445,9375,4545,1,4562,4350
446,9404,2103,1,2098,1978
447,9422,1299,1,1296,1256
448,9432,9075,1,8824,9075
449,9435,8080,1,8070,7920
450,9437,2538,0,2525,2433
451,9449,1730,1,1725,1616
452,9468,1435,0,1431,1386
453,9501,830,1,835,781
454,9503,1513,1,1531,1432
455,9513,3800,1,3800,3610
456,9531,663,1,663,634
457,9532,492,1,493,472
458,9600,1252,1,1264,1203
459,9602,2736,1,2745,2691
460,9603,4155,1,4145,3910
461,9613,5840,1,5805,5620
462,9640,1243,1,1234,1212
463,9682,2747,1,2783,2570
464,9684,3165,1,3179,3115
465,9719,4385,1,4370,4145
466,9735,7763,1,7737,7505
467,9739,992,1,990,932
468,9742,1068,1,1058,1026
469,9766,2664,1,2674,2639
470,9783,3220,1,3237,3120
471,9787,3850,1,3823,3730
472,9810,404,1,404,391
473,9831,467,1,465,453
474,9843,9650,1,9795,9370
475,9934,3925,1,3915,3785
476,9936,4060,1,4030,3955
477,9948,2394,1,2385,2290
478,9956,3410,0,3388,3215
479,9962,5480,1,5475,5480
480,9983,49265,1,50043,47480
481,9984,7063,1,7093,6853
482,9989,6820,0,6722,6530
