Code,Prev,Trend,Pred,Close
1417,1084,1,1080,1041
1605,1081,1,1088,1028
1719,772,1,754,736
1721,1416,1,1426,1383
1722,765,1,772,715
1801,780,1,774,766
1802,1014,1,1007,999
1808,1418,1,1410,1387
1812,648,1,647,624
1878,12415,1,12462,12030
1881,2052,1,2045,1984
1911,1376,1,1370,1310
1925,2974,1,2984,2859
1928,1905,1,1886,1827
1951,1165,1,1165,1119
1952,960,1,971,932
1963,1628,1,1635,1564
1983,1207,1,1224,1143
2002,1707,1,1708,1659
2121,4160,1,4080,3950
2131,1134,0,1135,1077
2181,5240,1,5274,5140
2229,3945,1,3934,3775
2267,6060,1,6070,5810
2269,18030,1,17607,18030
2282,2497,1,2517,2420
2294,1863,0,1868,1822
2317,1115,0,1121,1083
2327,5060,1,5020,4855
2331,5320,1,5319,5260
2359,810,1,802,780
2371,1936,1,1916,1852
2395,428,1,426,401
2412,2047,0,2002,1942
2413,2384,1,2377,2270
2432,2276,1,2273,2238
2433,1175,1,1167,1103
2502,3879,1,3883,3765
2503,1613,1,1615,1526
2593,2470,1,2461,2414
2651,8760,1,8715,8540
2670,6920,1,6885,6590
2674,1562,1,1538,1519
2681,1894,0,1903,1865
2695,3795,1,3757,3650
2702,2694,1,2678,2652
2726,3460,0,3414,3295
2768,231,1,233,219
2780,2773,1,2771,2681
2782,5700,1,5576,5630
2784,2063,0,2069,1967
2801,3415,1,3427,3285
2802,2512,1,2536,2419
2809,2420,1,2405,2316
2871,727,1,727,724
2875,4485,1,4480,4410
2897,5390,1,5399,5320
2914,4125,1,4135,3961
2915,1555,1,1563,1532
3003,1088,1,1084,1052
3048,1065,1,1051,1004
3064,5480,1,5465,5480
3086,1945,1,1923,1865
3088,5250,1,5220,5130
3092,3935,1,3880,3745
3099,1838,1,1820,1756
3116,1977,1,1989,1928
3141,5800,1,5730,5590
3197,1602,0,1581,1511
3231,2461,1,2442,2370
3289,818,1,820,781
3291,1904,1,1914,1825
3349,14100,1,14189,13960
3360,2658,1,2625,2472
3382,5379,1,5361,5215
3391,10120,1,10020,10030
3402,1053,1,1065,1007
3405,1464,1,1455,1411
3407,858,0,866,825
3436,1061,0,1081,1021
3512,498,1,498,486
3606,136,1,136,125
3626,2742,1,2731,2622
3632,554,1,554,526
3636,3070,1,3031,2990
3639,1498,1,1479,1518
3641,3110,0,3112,3075
3656,1293,1,1294,1144
3659,1597,0,1604,1539
3664,498,0,488,461
3668,2049,1,2066,1960
3738,1791,0,1794,1790
3742,1084,0,1070,1047
3765,355,1,359,353
3774,2175,1,2161,2085
3788,755,1,747,732
3793,696,1,686,646
3799,560,0,549,544
3817,2057,1,2067,1924
3861,533,1,540,513
3903,1321,0,1314,1209
3905,563,1,557,542
3907,3740,0,3672,3455
3911,1261,0,1282,1135
4004,133,1,133,127
4021,2676,1,2682,2536
4042,589,1,592,560
4061,469,1,473,451
4063,6147,1,6143,5806
4088,1734,1,1725,1668
4091,1148,1,1142,1099
4114,1637,0,1623,1637
4116,517,1,523,498
4151,1759,1,1765,1650
4185,1703,1,1701,1626
4188,613,0,622,604
4201,755,1,764,735
4202,1439,1,1429,1418
4204,1262,1,1260,1210
4205,961,1,950,910
4206,2395,1,2395,2310
4208,209,1,209,205
4217,1668,0,1676,1600
4231,649,1,650,628
4272,1255,1,1283,1204
4283,3775,0,3942,3775
4298,1439,0,1454,1459
4307,5070,1,4972,5070
4324,6250,1,6269,5920
4348,1052,1,1057,1008
4452,5429,1,5381,5150
4502,5422,1,5483,5114
4503,1609,1,1618,1518
4506,1236,1,1253,1171
4507,4480,1,4530,4225
4508,2068,1,2109,2005
4519,3815,1,3865,3595
4521,5920,0,5846,5920
4523,7287,1,7458,6760
4527,1874,1,1876,1811
4528,14860,1,14945,13440
4530,4065,1,4035,3825
4534,7170,1,7205,6770
4540,2628,1,2645,2501
4543,3395,1,3429,3240
4544,5210,1,5205,4970
4555,7000,1,7040,6820
4568,2113,1,2153,1979
4569,1883,1,1890,1788
4572,2270,1,2261,2137
4578,3960,1,3982,3748
4581,6960,1,7015,6680
4587,14730,1,14389,14730
4612,2186,1,2174,2037
4613,1628,0,1609,1559
4631,270,0,270,258
4634,443,1,444,427
4641,2186,1,2177,2117
4666,2272,1,2237,2233
4676,1477,1,1473,1383
4681,2978,1,2943,2909
4684,5480,1,5330,5280
4689,457,1,456,450
4704,4225,1,4230,4120
4708,1257,1,1241,1243
4716,5040,1,5030,4925
4719,1908,1,1918,1851
4722,695,1,692,658
4726,1176,1,1168,1138
4732,2042,1,2013,1959
4751,4890,1,4919,4545
4755,1505,1,1502,1470
4761,671,1,673,679
4768,6030,1,6010,5550
4777,727,1,726,702
4793,871,0,874,871
4812,1610,1,1574,1554
4832,1104,1,1127,1129
4837,499,1,496,493
4842,305,0,303,296
4901,4529,0,4574,4308
4902,1274,0,1287,1224
4911,2673,1,2643,2568
4912,1057,1,1047,1014
4922,11050,1,10907,10370
4927,7340,0,7160,7160
4967,9170,1,9055,8670
4968,1124,1,1132,1076
