銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1136,1152,1136.058,1153,1156,1111,315200,96994,85381866,2.64,30.0,9.24,0.75,122.95,1504.71,113600,100,1491,1027
1605,国際石油開発帝石(株),1222,1229,1222.215,1239,1249,1203,6756900,1786959,1462323600,1.47,18.0,25.5,0.58,47.93,2100.26,122200,100,1556,1074
1719,安藤ハザマ,795,782,795.06,778,795,774,2553200,147241,185209189,1.26,10.0,14.0,2.22,56.79,358.66,79500,100,799,605
1721,コムシスホールディングス(株),1510,1524,1510.117,1506,1518,1491,736900,220427,145977886,2.32,35.0,10.15,0.9,148.78,1676.3,151000,100,1918,1381
1722,ミサワホーム(株),869,863,868.4998999999999,878,878,856,292600,33664,38738914,2.3,20.0,8.11,1.0,107.09,870.06,86900,100,1182,781
1801,大成建設(株),822,818,822.1099999999999,823,830,812,12748000,962783,1171268860,0.97,8.0,22.9,1.95,35.9,422.2,822000,1000,856,648
1802,(株)大林組,1050,1054,1049.9314,1054,1074,1045,5174000,757585,721509646,0.95,10.0,25.13,1.47,41.78,716.38,1050000,1000,1098,717
1808,(株)長谷工コーポレーション,1427,1462,1427.4318,1446,1448,1413,3206900,429234,300794397,0.7,10.0,12.26,2.87,116.43,496.74,142700,100,1699,923
1812,鹿島,682,685,681.9456,695,695,673,6934000,721087,1057312022,0.88,6.0,28.32,1.61,24.08,424.2,682000,1000,730,449
1878,大東建託(株),13270,13255,13268.3967,13270,13340,13170,320600,1052635,79324379,3.01,399.0,16.47,4.3,805.61,3085.68,1327000,100,14590,11860
1881,(株)ＮＩＰＰＯ,2065,2049,2064.946,2027,2067,2020,220000,246565,119401836,1.21,25.0,11.18,1.0,184.7,2073.99,2065000,1000,2254,1596
1911,住友林業(株),1360,1350,1359.6115,1349,1366,1334,549100,241278,177410239,1.76,24.0,12.35,1.0,110.09,1359.99,136000,100,1664,1060
1925,大和ハウス工業(株),2981,2994,2980.8154000000004,2957,2995,2925,2073500,1986056,666238205,2.35,70.0,15.71,1.74,189.74,1710.73,298100,100,3362,2120
1928,積水ハウス(株),1812,1812,1812.6928999999998,1806,1821,1790,2932900,1286301,709683466,2.98,54.0,13.69,1.21,132.41,1496.47,181250,100,2115,1472
1951,(株)協和エクシオ,1247,1247,1247.54,1250,1257,1231,468200,146912,117812419,2.57,32.0,9.31,0.84,134.0,1481.89,124700,100,1543,1141
1952,新日本空調(株),983,992,983.1465,992,993,969,16500,24852,25282225,2.03,20.0,14.49,0.66,67.85,1496.53,98300,100,1212,855
1963,日揮(株),1773,1833,1772.2536,1825,1826,1771,3714000,459301,259052929,2.26,40.0,11.18,1.14,158.52,1556.44,1773000,1000,2585,1694
1983,東芝プラントシステム(株),1325,1303,1325.5244,1323,1349,1301,776100,129395,97656888,2.83,37.5,10.76,1.1,123.19,1206.53,132500,100,1882,1122
2002,(株)日清製粉グループ本社,1658,1675,1657.9329,1663,1680,1644,1383500,504625,304357891,1.45,24.0,31.03,1.35,53.43,1228.17,165800,100,1880,1187
2121,(株)ミクシィ,4170,4330,4172.9559,4190,4195,4015,4117800,351512,84295500,3.09,129.0,6.47,5.19,644.97,803.38,417000,100,6670,3750
2131,(株)アコーディア・ゴルフ,1221,1233,1221.1499999999999,1226,1238,1215,822900,103466,84739000,2.95,36.0,21.0,1.87,58.15,652.57,122100,100,1337,1077
2181,テンプホールディングス(株),5420,5300,5420.187,5250,5450,5120,393500,410975,75825567,0.66,36.0,26.1,3.86,207.67,1403.16,542000,100,5770,3655
2229,カルビー(株),4645,4630,4644.4324,4630,4675,4535,531200,620878,133665800,0.71,33.0,39.22,5.65,118.42,822.42,464500,100,5700,4050
2267,(株)ヤクルト本社,6780,6860,6780.765600000001,6840,6850,6670,687600,1192671,175910218,0.74,50.0,40.74,3.41,166.44,1987.08,678000,100,9030,6100
2269,明治ホールディングス(株),19750,19670,19750.8452,19700,19850,19370,343000,1507749,76341700,0.56,110.0,29.08,3.73,679.19,5292.99,1975000,100,21320,10690
2282,日本ハム(株),2800,2798,2799.4560000000006,2810,2812,2778,726000,571200,204000000,1.43,40.0,21.12,1.61,132.55,1740.54,2800000,1000,3235,2464
2294,(株)柿安本店,1889,1890,1889.1512,1899,1899,1871,5100,23512,12446700,2.22,42.0,15.76,1.63,119.87,1161.39,188900,100,2036,1712
2317,(株)システナ,1142,1121,,1121,1154,1112,64800,32182,28180000,2.8,32.0,,2.24,,508.93,114200,100,1305,835
2327,新日鉄住金ソリューションズ(株),4695,4665,4695.8928,4660,4700,4580,96600,248831,52999120,1.49,70.0,20.22,2.29,232.24,2048.78,469500,100,5260,2750
2331,ＡＬＳＯＫ,5300,5070,5300.2208,5170,5330,5110,594500,540812,102040042,0.75,40.0,31.34,2.92,169.12,1815.83,530000,100,5910,2840
2359,(株)コア,842,833,842.061,825,853,825,25300,12491,14834580,2.38,20.0,19.38,1.58,43.45,534.32,84200,100,947,752
2371,(株)カカクコム,1928,1934,1928.1108000000002,1956,1981,1910,1947300,427580,221773700,,,32.34,16.31,59.62,118.19,192800,100,2177,1580
2395,(株)新日本科学,492,490,491.9936,492,495,483,185000,19570,39776000,,,180.88,1.66,2.72,296.94,49200,100,972,426
2412,(株)ベネフィット・ワン,2180,2145,2179.6992000000005,2135,2180,2068,84200,98414,45144000,1.1,24.0,32.13,8.01,67.84,272.23,218000,100,3080,1225
2413,エムスリー(株),2812,2700,2811.865,2729,2845,2714,2296600,909957,323597800,,,80.5,19.78,34.93,142.13,281200,100,3180,1987
2432,(株)ディー・エヌ・エー,2216,2222,,2172,2230,2160,1411500,334195,150810033,,,,1.62,,1371.37,221600,100,2705,1367
2433,(株)博報堂ＤＹホールディングス,1214,1229,1214.1319999999998,1222,1227,1201,1038400,471710,388558100,1.48,18.0,21.65,1.73,56.08,702.58,121400,100,1467,1062
2502,アサヒグループホールディングス(株),4002,3922,4002.1287,3920,4003,3860,2198400,1935552,483585862,1.2,48.0,24.63,2.1,162.49,1903.8,400250,100,4395,3550
2503,キリンホールディングス(株),1782,1777,1781.9034,1774,1788,1744,3480500,1628748,914000000,2.13,38.0,24.27,1.93,73.42,922.8,178200,100,1915,1400
2593,(株)伊藤園,2869,2741,2868.6322,2747,2870,2747,696100,255950,89212380,1.39,40.0,29.23,2.78,98.14,1031.19,286900,100,3140,2075
2651,(株)ローソン,8660,8510,8659.2,8590,8710,8520,541400,868598,100300000,2.83,245.0,24.6,3.43,352.0,2525.06,866000,100,9770,7190
2670,(株)エービーシー・マート,7360,7210,7358.4036,7150,7390,7080,384800,576425,78318671,1.36,100.0,21.48,3.5,342.57,2104.43,736000,100,8020,5490
2674,(株)ハードオフコーポレーション,1449,1453,1448.901,1450,1453,1432,17400,20219,13954000,2.42,35.0,15.63,1.65,92.7,880.21,144900,100,1698,920
2681,(株)ゲオホールディングス,1841,1844,1840.8318000000002,1844,1849,1803,224400,100458,54567200,1.74,32.0,21.41,1.49,85.98,1236.77,184100,100,2034,961
2695,(株)くらコーポレーション,3375,3415,3374.4980000000005,3460,3460,3335,72300,69862,20699800,0.36,12.0,21.17,2.77,159.4,1220.17,337500,100,4965,2926
2702,日本マクドナルドホールディングス(株),2670,2653,,2652,2670,2635,521100,355003,132960000,,,,3.03,-285.8,881.47,267000,100,2680,2451
2726,(株)パル,3610,3590,3609.0489000000002,3585,3610,3500,95200,83521,23136000,1.8,65.0,14.81,2.34,243.69,1539.72,361000,100,4445,2880
2768,双日(株),257,262,257.0388,261,261,253,17673500,321635,1251499501,3.11,8.0,8.04,0.54,31.97,478.96,25700,100,329,152
2780,(株)コメ兵,3050,3015,3050.4856,3060,3095,3000,55000,34334,11257000,0.98,30.0,16.36,1.96,186.46,1554.55,305000,100,4095,2747
2782,(株)セリア,5850,5750,5849.974,5680,5850,5650,28900,221832,37920000,0.51,30.0,31.69,6.52,184.6,897.72,585000,100,6290,3300
2784,アルフレッサ　ホールディングス(株),2214,2220,2214.3920999999996,2219,2221,2182,712100,520329,235017600,1.45,32.0,20.81,1.39,106.41,1598.18,221400,100,2489,1331
2801,キッコーマン(株),3905,3950,3905.0361,3910,3920,3860,814000,821546,210383202,0.61,24.0,44.87,3.21,87.03,1215.52,3905000,1000,4400,2809
2802,味の素(株),2671,2642,2671.0656,2647,2691,2623,3047000,1588128,594470654,0.97,26.0,24.32,2.24,109.83,1191.03,2671500,1000,2960,2156
2809,キユーピー(株),2676,2637,2676.1539000000002,2640,2677,2626,850100,409428,153000000,0.97,26.0,25.71,1.97,104.09,1357.88,267600,100,3645,2094
2871,(株)ニチレイ,742,736,742.1658,728,743,727,778000,219521,295851065,1.62,12.0,18.77,1.43,39.54,517.79,742000,1000,967,532
2875,東洋水産(株),4550,4455,4550.775,4525,4590,4485,585500,504509,110881044,1.32,60.0,25.82,1.83,176.25,2485.39,455000,100,5020,3770
2897,日清食品ホールディングス(株),5760,5740,5760.4025,5740,5780,5680,215700,676591,117463685,1.39,80.0,31.75,1.73,181.43,3338.12,576000,100,6620,5110
2914,ＪＴ,4329,4300,4330.804,4299,4342,4252,3016900,8659000,2000000000,2.49,108.0,16.55,3.1,261.68,1396.31,432950,100,4848,3101
