Code,Prev,Trend,Pred,Close,Errata-D,Errata-U,Pred-D,Pred-U,Correct,Total,Diff-Ratio,Binary-Correct
1417,1074,0,1067,1077,,,1,,,,-0.9285051068,
1605,1080,0,1082,1101,,,,,,,-1.7257039055,
1719,722,1,741,721,,,,1,,,2.773925104,
1721,1458,0,1456,1465,,,1,,,,-0.614334471,
1722,786,0,785,795,,,1,,,,-1.2578616352,
1801,765,1,776,755,,,,1,,,2.7814569536,
1802,988,1,1005,972,,,,1,,,3.3950617284,
1808,1360,0,1347,1346,1,,1,,1,,0.0742942051,1
1812,634,0,644,631,,,,,,,2.06022187,1
1878,12225,0,12227,12265,,,,,,,-0.3098247044,
1881,2012,0,2021,2035,,,,,,,-0.687960688,
1911,1341,0,1343,1335,,,,,,,0.5992509363,1
1925,3042,0,3037,3047,,,1,,,,-0.3281916639,
1928,1838,1,1833,1832,,,,,,,0.0545851528,
1951,1185,1,1184,1182,,,,,,,0.1692047377,
1952,964,0,960,970,,,1,,,,-1.0309278351,
1963,1696,0,1704,1743,,,,,,,-2.2375215146,
1983,1261,1,1259,1270,,,,,,,-0.8661417323,1
2002,1628,1,1574,1618,,,,,,,-2.7194066749,
2121,4070,0,4052,4020,1,,1,,1,,0.7960199005,1
2131,1197,1,1197,1183,,,,1,,,1.1834319527,
2181,4935,1,5000,4940,,1,,1,1,,1.2145748988,1
2229,4095,0,4070,3975,1,,1,,1,,2.3899371069,1
2267,5970,0,5920,5920,1,,1,,1,,0,1
2269,16860,0,16786,16570,1,,1,,1,,1.3035606518,1
2282,2571,0,2566,2522,1,,1,,1,,1.7446471055,1
2294,1871,1,1871,1860,,,,1,,,0.5913978495,
2317,1187,0,1182,1194,,,1,,,,-1.0050251256,
2327,4790,1,4829,4850,,1,,1,1,,-0.4329896907,1
2331,5310,0,5280,5230,1,,1,,1,,0.9560229446,1
2359,796,0,792,800,,,1,,,,-1,
2371,1777,1,1801,1768,,,,1,,,1.8665158371,
2395,417,0,417,418,,,,,,,-0.2392344498,
2412,2070,1,2177,2060,,,,1,,,5.6796116505,
2413,2397,0,2408,2353,,,,,,,2.337441564,1
2432,2368,0,2362,2304,1,,1,,1,,2.5173611111,1
2433,1172,0,1166,1180,,,1,,,,-1.186440678,
2502,3601,0,3583,3773,,,1,,,,-5.035780546,
2503,1602,0,1605,1619,,,,,,,-0.8647313156,
2593,2423,0,2421,2419,1,,1,,1,,0.0826787929,1
2651,8580,1,8614,8720,,1,,1,1,,-1.2155963303,1
2670,6840,1,6800,6720,,,,,,,1.1904761905,
2674,1402,0,1395,1402,,,1,,,,-0.4992867332,
2681,1948,1,1911,1923,,,,,,,-0.624024961,
2695,3790,1,3824,3835,,1,,1,1,,-0.2868318123,1
2702,2635,1,2643,2633,,,,1,,,0.3797949107,
2726,3580,0,3540,3515,1,,1,,1,,0.7112375533,1
2768,238,0,238,239,,,,,,,-0.4184100418,
2780,2795,0,2812,2794,,,,,,,0.6442376521,1
