Code,Prev,Trend,Pred,Close
1417,1081,1,1079,1057
1605,1124,1,1112,1113
1719,741,0,731,736
1721,1483,1,1474,1438
1722,838,1,816,795
1801,773,0,764,766
1802,994,0,983,988
1808,1335,0,1340,1323
1812,645,0,638,635
1878,12405,1,12335,12320
1881,2075,1,2055,2077
1911,1389,0,1362,1373
1925,3077,1,3062,2959
1928,1846,0,1839,1822
1951,1211,0,1196,1193
1952,989,1,979,984
1963,1748,1,1745,1696
1983,1263,1,1266,1246
2002,1633,0,1625,1604
2121,4145,0,4082,4155
2131,1176,0,1179,1173
2181,4975,1,4957,4945
2229,4080,0,4027,3960
2267,6090,0,6005,6010
2269,17100,0,16836,16980
2282,2519,0,2520,2470
2294,1820,0,1839,1854
2317,1199,1,1196,1179
2327,4915,1,4882,4905
2331,5280,0,5255,5220
2359,811,1,805,802
2371,1778,0,1773,1854
2395,418,1,417,406
2412,2174,0,2119,2095
2413,2416,0,2384,2425
2432,2313,0,2308,2305
2433,1179,1,1179,1156
2502,3891,1,3832,3807
2503,1653,1,1636,1614
2593,2491,0,2455,2414
2651,8570,1,8644,8310
2670,6870,0,6795,6760
2674,1399,0,1400,1389
2681,1934,0,1928,1934
2695,3780,1,3807,3710
2702,2634,0,2633,2634
2726,3515,0,3515,3490
2768,244,1,241,240
2780,2854,0,2824,2820
2782,5300,1,5304,5370
2784,2133,0,2126,2112
2801,3475,1,3427,3400
2802,2491,0,2465,2424
2809,2366,0,2317,2308
2871,711,1,706,705
2875,4460,0,4397,4300
2897,5370,0,5310,5240
2914,4171,1,4147,4009
2915,1549,0,1545,1580
3003,1038,0,1033,1025
3048,1040,0,1039,1036
3064,5400,0,5300,5400
3086,1857,0,1828,1807
3088,5140,0,5100,5090
3092,3505,0,3455,3615
3099,1831,0,1816,1788
3116,2062,1,2045,2048
3141,5590,0,5520,5340
3197,1585,0,1568,1557
3231,2238,0,2223,2297
3289,806,0,805,793
3291,1890,0,1838,1862
3349,14200,0,14195,13960
3360,2583,0,2561,2568
3382,5066,0,5042,5158
3391,9570,0,9589,9570
3402,1052,1,1047,1019
3405,1476,1,1467,1455
3407,922,0,919,903
3436,1246,1,1237,1191
3512,498,1,497,496
3606,141,0,139,139
3626,2809,1,2799,2736
3632,572,1,572,559
3636,3045,1,3017,2984
3639,1505,1,1473,1500
3641,3240,1,3205,3160
3656,1329,0,1316,1301
3659,1670,0,1648,1615
3664,520,0,513,519
3668,2091,1,2061,2061
3738,1863,0,1845,1793
3742,1083,1,1095,1069
3765,375,0,374,375
3774,2237,1,2204,2163
3788,724,0,722,729
3793,712,1,710,708
3799,591,1,583,561
3817,2087,0,2061,2105
3861,573,0,572,556
3903,1339,1,1251,1400
3905,516,0,516,519
3907,3875,0,3947,3820
3911,1308,0,1278,1313
4004,139,1,138,136
4021,2789,1,2752,2741
