,Code,Prev,Trend,Pred,Close
0,1417,1062,0,1082,1094
1,1605,1123,0,1136,1145
2,1719,704,0,705,728
3,1721,1434,0,1471,1464
4,1722,817,0,825,829
5,1801,738,0,748,765
6,1802,963,0,975,977
7,1808,1346,0,1351,1412
8,1812,624,0,633,646
9,1878,12315,0,12523,12705
10,1881,1878,0,1934,1954
11,1911,1275,0,1294,1292
12,1925,2726,0,2792,2777
13,1928,1669,0,1719,1708
14,1951,1177,0,1198,1212
15,1952,894,0,911,942
16,1963,1722,0,1760,1747
17,1983,1153,0,1173,1186
18,2121,4020,0,4015,4380
19,2131,1158,0,1172,1191
20,2181,4790,0,4814,4875
21,2229,4325,0,4364,4405
22,2267,6410,0,6518,6550
23,2269,17960,0,18228,18310
24,2282,2636,0,2679,2665
25,2294,1800,0,1817,1870
26,2317,1061,0,1097,1086
27,2327,4080,0,4141,4355
28,2331,4735,0,4677,4810
29,2359,780,0,790,803
30,2371,1825,0,1837,1930
31,2395,450,0,465,477
32,2412,1917,0,1934,2095
33,2413,2573,0,2612,2669
34,2432,2107,0,2064,2117
35,2433,1104,0,1133,1160
36,2502,3675,0,3768,3710
37,2503,1634,0,1666,1672
38,2593,2684,0,2725,2589
39,2651,8460,0,8634,8430
40,2670,6990,0,7099,7050
41,2674,1381,0,1399,1422
42,2681,1696,0,1728,1714
43,2695,3125,0,3159,3235
44,2702,2564,0,2585,2615
45,2726,3415,0,3508,3445
46,2768,234,0,239,245
47,2780,2868,0,2925,3025
48,2782,5530,0,5500,5610
49,2801,3640,0,3703,3625
50,2802,2445,0,2484,2468
51,2809,2387,0,2423,2451
52,2871,700,0,716,705
53,2875,4305,0,4367,4295
54,2897,5510,0,5564,5490
55,2914,3984,0,4084,4080
56,2915,1563,0,1571,1592
57,3003,1063,0,1064,1096
58,3048,1079,0,1094,1148
59,3064,5760,0,5656,6050
60,3086,1859,0,1903,1928
61,3088,5530,0,5583,5620
62,3092,3505,0,3546,3640
63,3099,1817,0,1845,1871
64,3116,1888,0,1918,1946
65,3141,4895,0,4979,5040
66,3197,1680,0,1702,1714
67,3231,2222,0,2249,2233
68,3289,793,0,807,803
69,3291,1894,0,1939,1968
70,3349,14290,0,14434,14620
71,3360,2543,0,2584,2546
72,3382,4995,0,5117,5144
