銘柄コード,銘柄名称,始値,高値,安値,終値,前日終値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
7177,ＧＭＯクリックホールディングス(株),699,733,698,703,729,63900,80810,114950126,,,,3.71,,189.63,70300,100,1419,620
7201,日産自動車(株),1032,1072,1025,1049,1053,12683300,4744491,4520715112,4.0,42.0,9.07,0.89,115.67,1176.56,104950,100,1350,963
7202,いすゞ自動車(株),1294,1327,1286,1297,1318,3450400,1100828,848422669,2.47,32.0,9.83,1.4,131.99,926.25,129750,100,1824,1286
7203,トヨタ自動車(株),6860,7168,6840,7015,7000,13797900,23977252,3417997492,,,9.81,1.22,714.99,5741.66,701500,100,8783,6650
7205,日野自動車(株),1263,1294,1251,1276,1290,2666400,733165,574580850,3.13,40.0,9.88,1.72,129.1,742.8,127600,100,1916,1203
7211,三菱自動車(株),894,910,885,894,904,5862700,879394,983661919,1.79,16.0,8.79,1.31,101.68,682.3,89400,100,1168,871
7240,ＮＯＫ(株),2689,2797,2585,2761,2750,1006300,478036,173138537,,,10.85,1.1,254.4,2499.12,276100,100,4395,2585
7242,ＫＹＢ,339,345,338,340,344,1390000,87545,257484315,3.24,11.0,9.44,0.51,36.01,671.39,340000,1000,519,338
7245,大同メタル工業(株),1001,1022,995,1003,1022,83700,45092,44956853,2.59,26.0,7.54,0.91,133.11,1096.86,100300,100,1359,980
7248,カルソニックカンセイ(株),779,792,761,766,791,1376000,209303,273241631,1.31,10.0,9.33,1.01,82.12,759.91,766000,1000,984,600
7259,アイシン精機(株),4070,4170,4010,4060,4115,1356000,1196379,294674634,2.46,100.0,11.48,0.97,353.62,4164.9,406000,100,5890,3990
7261,マツダ(株),1945,1972,1902,1919,2004,14154100,1151461,599875479,1.56,30.0,8.2,1.28,234.18,1503.91,191950,100,2910,1881
7262,ダイハツ工業(株),1400,1423,1376,1396,1405,2487100,596264,427122966,,,9.92,0.97,140.79,1442.33,139600,100,1853,1376
7267,ホンダ,3620,3726,3585,3658,3679,4991800,6627111,1811428430,2.41,88.0,12.56,0.87,291.3,4221.25,365850,100,4499,3420
7269,スズキ(株),3822,4025,3809,3900,3892,2399000,2188365,561047304,0.69,27.0,19.89,1.45,196.09,2696.62,390050,100,4780,3412
7270,富士重工業(株),3988,4192,3972,4075,4081,5123300,3190178,782865873,,,9.44,2.92,431.84,1393.99,407500,100,4828,3669
7272,ヤマハ発動機(株),2199,2299,2183,2257,2236,2995000,789717,349896784,1.95,44.0,10.37,1.55,217.65,1454.59,225700,100,3245,2108
7276,(株)小糸製作所,3790,3855,3735,3785,3885,1054100,608588,160789436,,,16.44,2.25,230.25,1683.8,378500,100,5040,3420
7278,(株)エクセディ,2615,2682,2587,2603,2661,126700,126489,48593736,2.69,70.0,11.9,0.79,218.7,3305.07,260300,100,3310,2523
7279,(株)ハイレックスコーポレーション,3535,3585,3465,3500,3625,18700,133759,38216759,1.47,51.5,8.62,0.95,405.87,3702.04,350000,100,4310,3205
7280,(株)ミツバ,1917,1975,1895,1904,1954,140800,86788,45581809,0.74,14.0,6.56,1.06,290.44,1799.37,190400,100,3575,1863
7282,豊田合成(株),2235,2283,2211,2231,2270,529700,290052,130010011,2.51,56.0,12.56,0.91,177.69,2452.04,223100,100,3150,2211
7296,(株)エフ・シー・シー,1780,1799,1754,1777,1807,217100,93548,52644030,2.25,40.0,13.72,0.76,129.51,2347.57,177700,100,2267,1754
7309,(株)シマノ,15180,16290,15110,15840,15490,615800,1468685,92720000,0.98,155.0,24.68,4.09,641.83,3875.66,1584000,100,19360,13240
7313,テイ・エス　テック(株),3085,3125,3035,3040,3155,408300,206720,68000000,2.17,66.0,8.99,1.07,338.24,2837.65,304000,100,3785,2551
7420,佐鳥電機(株),830,852,823,834,841,31000,14968,17946826,3.84,32.0,9.24,0.42,90.23,1976.29,83400,100,975,737
7451,三菱食品(株),2570,2686,2563,2626,2617,97900,152638,58125490,1.6,42.0,13.64,1.07,192.51,2455.53,262600,100,2918,2343
7453,(株)良品計画,25720,27000,25520,26240,26040,556200,736767,28078000,0.82,215.0,34.61,5.38,758.2,4877.01,2624000,100,29040,12470
7458,(株)第一興商,4450,4530,4405,4435,4585,197700,257341,58025000,2.25,100.0,19.33,2.35,229.48,1885.45,443500,100,5030,3120
7459,(株)メディパルホールディングス,1981,2087,1981,2055,2016,955400,502498,244524496,1.17,24.0,18.18,1.18,113.05,1739.01,205500,100,2388,1319
7483,(株)ドウシシャ,2230,2316,2192,2267,2246,141400,84731,37375636,1.76,40.0,16.39,1.47,138.31,1539.05,226700,100,2350,1606
7518,ネットワンシステムズ(株),700,709,690,700,706,487500,60200,86000000,4.29,30.0,17.93,1.07,39.04,656.99,70000,100,955,660
7520,(株)エコス,1034,1099,1030,1075,1074,35300,10901,10140917,1.4,15.0,9.14,1.35,117.62,798.31,107500,100,1360,875
