銘柄コード,銘柄名称,株価,前日終値,予想株価 (PERxEPS),始値,高値,安値,出来高,時価総額 (百万円),発行済株式数,配当利回り (会社予想),1 株配当 (会社予想),PER (会社予想),PBR (実績),EPS (会社予想),BPS (実績),最低購入代金,単元株数,年初来高値,年初来安値
1417,(株)ミライト・ホールディングス,1094,1062,1094.255,1069,1112,1069,428600,93408,85381866,2.74,30.0,8.9,0.73,122.95,1504.71,109400,100,1491,1027
1605,国際石油開発帝石(株),1145,1123,1145.0477,1118,1155,1103,8421800,1674361,1462323600,1.57,18.0,23.89,0.55,47.93,2100.26,114500,100,1556,1074
1719,安藤ハザマ,728,704,728.0478,732,734,714,2106400,134832,185209189,1.37,10.0,12.82,2.03,56.79,358.66,72800,100,799,605
1721,コムシスホールディングス(株),1464,1434,1463.9952,1413,1465,1412,1500700,213712,145977886,2.39,35.0,9.84,0.87,148.78,1676.3,146400,100,1918,1381
1722,ミサワホーム(株),829,817,828.8766,817,833,801,391900,32115,38738914,2.41,20.0,7.74,0.95,107.09,870.06,82900,100,1182,781
1801,大成建設(株),765,738,765.0289999999999,748,767,743,12444000,896021,1171268860,1.05,8.0,21.31,1.81,35.9,422.2,765000,1000,856,648
1802,(株)大林組,977,963,976.8163999999999,971,992,967,6402000,704915,721509646,1.02,10.0,23.38,1.36,41.78,716.38,977000,1000,1098,717
1808,(株)長谷工コーポレーション,1412,1346,1412.2959,1413,1420,1364,3634300,424722,300794397,0.71,10.0,12.13,2.84,116.43,496.74,141200,100,1699,923
1812,鹿島,646,624,646.0663999999999,634,649,627,7721000,683024,1057312022,0.93,6.0,26.83,1.52,24.08,424.2,646000,1000,730,449
1878,大東建託(株),12705,12315,12704.4697,12430,12790,12330,459300,1007816,79324379,3.14,399.0,15.77,4.12,805.61,3085.68,1270500,100,14590,11860
1881,(株)ＮＩＰＰＯ,1954,1878,1954.126,1910,1964,1910,480000,233311,119401836,1.28,25.0,10.58,0.94,184.7,2073.99,1954000,1000,2254,1596
1911,住友林業(株),1292,1275,1292.4566,1275,1296,1253,827100,229214,177410239,1.86,24.0,11.74,0.95,110.09,1359.99,129200,100,1664,1060
1925,大和ハウス工業(株),2777,2726,2777.7936000000004,2728,2798,2706,3803200,1850477,666238205,2.52,70.0,14.64,1.62,189.74,1710.73,277750,100,3362,2120
1928,積水ハウス(株),1708,1669,1708.089,1680,1718,1662,3878900,1212139,709683466,3.16,54.0,12.9,1.14,132.41,1496.47,170800,100,2115,1472
1951,(株)協和エクシオ,1212,1177,1211.36,1175,1218,1172,690200,142789,117812419,2.64,32.0,9.04,0.82,134.0,1481.89,121200,100,1543,1141
1952,新日本空調(株),942,894,941.7579999999999,934,949,900,36400,23816,25282225,2.12,20.0,13.88,0.63,67.85,1496.53,94200,100,1212,855
1963,日揮(株),1747,1722,1746.8904,1710,1768,1694,3487000,452695,259052929,2.29,40.0,11.02,1.12,158.52,1556.44,1747500,1000,2585,1694
1983,東芝プラントシステム(株),1186,1153,1186.3197,1160,1192,1143,479600,115821,97656888,3.16,37.5,9.63,0.98,123.19,1206.53,118600,100,1882,1122
2002,(株)日清製粉グループ本社,1567,1554,1567.1019,1562,1595,1545,1747300,476929,304357891,1.53,24.0,29.33,1.28,53.43,1228.17,156700,100,1880,1187
2121,(株)ミクシィ,4380,4020,4379.3463,4130,4390,4080,4171000,369214,84295500,2.95,129.0,6.79,5.45,644.97,803.38,438000,100,6670,3750
2131,(株)アコーディア・ゴルフ,1191,1158,1190.912,1169,1194,1163,480200,100924,84739000,3.02,36.0,20.48,1.83,58.15,652.57,119100,100,1337,1077
2181,テンプホールディングス(株),4875,4790,4874.014899999999,4790,4920,4730,417800,369650,75825567,0.74,36.0,23.47,3.47,207.67,1403.16,487500,100,5770,3655
2229,カルビー(株),4405,4325,4405.224,4340,4460,4335,916400,588798,133665800,0.75,33.0,37.2,5.36,118.42,822.42,440500,100,5700,4050
2267,(株)ヤクルト本社,6550,6410,6549.414,6480,6660,6460,575000,1152212,175910218,0.76,50.0,39.35,3.3,166.44,1987.08,655000,100,9030,6100
2269,明治ホールディングス(株),18310,17960,18310.9624,18200,18400,17880,399300,1397817,76341700,0.6,110.0,26.96,3.46,679.19,5292.99,1831000,100,21320,10690
2282,日本ハム(株),2665,2636,2665.5805,2652,2711,2648,1528000,543660,204000000,1.5,40.0,20.11,1.53,132.55,1740.54,2665000,1000,3235,2464
2294,(株)柿安本店,1870,1800,1869.972,1822,1870,1822,11400,23275,12446700,2.25,42.0,15.6,1.61,119.87,1161.39,187000,100,2036,1712
2317,(株)システナ,1086,1061,,1067,1093,1050,117400,30603,28180000,2.95,32.0,,2.13,,508.93,108600,100,1305,835
2327,新日鉄住金ソリューションズ(株),4355,4080,4354.5,4075,4395,4070,231500,230811,52999120,1.61,70.0,18.75,2.13,232.24,2048.78,435500,100,5260,2750
2331,ＡＬＳＯＫ,4810,4735,4809.772800000001,4740,4835,4710,486500,490813,102040042,0.83,40.0,28.44,2.65,169.12,1815.83,481000,100,5910,2840
2359,(株)コア,803,780,802.956,795,808,791,15100,11912,14834580,2.49,20.0,18.48,1.5,43.45,534.32,80300,100,947,752
2371,(株)カカクコム,1930,1825,1929.8993999999998,1825,1945,1797,2297300,428023,221773700,,,32.37,16.33,59.62,118.19,193000,100,2177,1580
2395,(株)新日本科学,477,450,477.00640000000004,482,499,471,343800,18973,39776000,,,175.37,1.61,2.72,296.94,47700,100,972,426
2412,(株)ベネフィット・ワン,2095,1917,2094.8992,1940,2120,1908,135600,94577,45144000,1.15,24.0,30.88,7.7,67.84,272.23,209500,100,3080,1225
2413,エムスリー(株),2669,2573,2669.0013,2576,2682,2500,2287700,863683,323597800,,,76.41,18.78,34.93,142.13,266900,100,3180,1987
2432,(株)ディー・エヌ・エー,2117,2107,,2093,2133,2060,2569000,319265,150810033,,,,1.54,,1371.37,211700,100,2705,1367
2433,(株)博報堂ＤＹホールディングス,1160,1104,1159.7344,1142,1165,1118,1478300,450727,388558100,1.55,18.0,20.68,1.65,56.08,702.58,116000,100,1467,1062
2502,アサヒグループホールディングス(株),3710,3675,3709.6467,3680,3732,3641,2158500,1794104,483585862,1.29,48.0,22.83,1.95,162.49,1903.8,371000,100,4395,3550
2503,キリンホールディングス(株),1672,1634,1672.5076000000001,1645,1678,1637,6335100,1528665,914000000,2.27,38.0,22.78,1.81,73.42,922.8,167250,100,1915,1400
2593,(株)伊藤園,2589,2684,2588.9332,2684,2700,2556,1021700,230971,89212380,1.54,40.0,26.38,2.51,98.14,1031.19,258900,100,3140,2075
2651,(株)ローソン,8430,8460,8430.4,8400,8460,8270,960500,845529,100300000,2.91,245.0,23.95,3.34,352.0,2525.06,843000,100,9770,7190
2670,(株)エービーシー・マート,7050,6990,7050.0905999999995,6890,7070,6720,640300,552147,78318671,1.42,100.0,20.58,3.35,342.57,2104.43,705000,100,8020,5490
2674,(株)ハードオフコーポレーション,1422,1381,1422.018,1390,1448,1368,70400,19843,13954000,2.46,35.0,15.34,1.62,92.7,880.21,142200,100,1698,920
2681,(株)ゲオホールディングス,1714,1696,1713.5814,1733,1750,1701,296700,93528,54567200,1.87,32.0,19.93,1.39,85.98,1236.77,171400,100,2034,961
2695,(株)くらコーポレーション,3235,3125,3234.226,3150,3250,3145,77500,66964,20699800,0.37,12.0,20.29,2.65,159.4,1220.17,323500,100,4965,2926
2702,日本マクドナルドホールディングス(株),2615,2564,,2606,2622,2584,354600,347690,132960000,,,,2.97,-285.8,881.47,261500,100,2680,2451
2726,(株)パル,3445,3415,3445.7766,3415,3525,3385,80500,79704,23136000,1.89,65.0,14.14,2.24,243.69,1539.72,344500,100,4445,2880
2768,双日(株),245,234,244.8902,242,247,235,25670200,306617,1251499501,3.27,8.0,7.66,0.51,31.97,478.96,24500,100,329,152
2780,(株)コメ兵,3025,2868,3024.3812,3005,3065,2900,66400,34052,11257000,0.99,30.0,16.22,1.95,186.46,1554.55,302500,100,4095,2747
2782,(株)セリア,5610,5530,5609.994,5590,5630,5450,37400,212731,37920000,0.53,30.0,30.39,6.25,184.6,897.72,561000,100,6290,3300
2784,アルフレッサ　ホールディングス(株),2110,2070,2110.1103,2087,2148,2067,1198200,495887,235017600,1.52,32.0,19.83,1.32,106.41,1598.18,211000,100,2489,1331
2801,キッコーマン(株),3625,3640,3624.7995,3610,3695,3555,1508000,762639,210383202,0.66,24.0,41.65,2.98,87.03,1215.52,3625000,1000,4400,2809
2802,味の素(株),2468,2445,2468.7978,2444,2501,2430,2924000,1467451,594470654,1.05,26.0,29.22,2.07,84.49,1191.03,2468500,1000,2960,2156
2809,キユーピー(株),2451,2387,2451.3195,2420,2461,2393,725500,375003,153000000,1.06,26.0,23.55,1.81,104.09,1357.88,245100,100,3645,2094
2871,(株)ニチレイ,705,700,704.9981999999999,695,709,691,1899000,208575,295851065,1.7,12.0,17.83,1.36,39.54,517.79,705000,1000,967,532
2875,東洋水産(株),4295,4305,4295.212500000001,4280,4350,4255,691100,476234,110881044,1.4,60.0,24.37,1.73,176.25,2485.39,429500,100,5020,3770
2897,日清食品ホールディングス(株),5490,5510,5490.071800000001,5510,5570,5450,414300,644876,117463685,1.46,80.0,30.26,1.64,181.43,3338.12,549000,100,6620,5110
2914,ＪＴ,4080,3984,4079.5912,4070,4105,3965,7145500,8160000,2000000000,2.65,108.0,15.59,2.92,261.68,1396.31,408000,100,4848,3101
2915,ケンコーマヨネーズ(株),1592,1563,1591.7489999999998,1594,1616,1570,28300,22624,14211000,1.57,25.0,12.78,1.22,124.55,1305.27,159200,100,1793,1381
3003,ヒューリック(株),1096,1063,1095.8684999999998,1065,1103,1053,2072400,726099,662498871,1.14,12.5,25.95,2.4,42.23,455.97,109600,100,1456,1003
3048,(株)ビックカメラ,1148,1079,1147.8662,1151,1179,1119,2723000,207132,180428297,0.87,10.0,19.37,2.13,59.26,539.08,114800,100,1641,1029
3064,(株)ＭｏｎｏｔａＲＯ,6050,5760,6049.8814999999995,5960,6150,5810,861800,375953,62141000,0.4,24.0,85.39,34.04,70.85,177.71,605000,100,7280,2282
3086,Ｊ．フロント　リテイリング(株),1928,1859,1927.9442,1880,1941,1871,1860300,516934,268119164,1.35,26.0,18.13,1.32,106.34,1464.65,192800,100,2512,1331
3088,(株)マツモトキヨシホールディングス,5620,5530,5620.7922,5530,5640,5420,969200,307055,54636107,1.25,70.0,23.19,1.87,242.38,3001.88,562000,100,6950,3280
3092,(株)スタートトゥデイ,3640,3505,3640.3938,3500,3675,3470,608500,400023,109896300,1.29,47.0,31.38,13.51,116.01,269.51,364000,100,4455,2364
3099,(株)三越伊勢丹ホールディングス,1871,1817,1871.185,1834,1881,1821,3079900,739022,394987954,0.59,11.0,29.5,1.3,63.43,1438.66,187100,100,2395,1460
3116,トヨタ紡織(株),1946,1888,1946.0861999999997,1900,1961,1892,446900,365198,187665738,1.03,20.0,21.22,1.62,91.71,1203.96,194600,100,2400,1340
3141,ウエルシアホールディングス(株),5040,4895,5039.1552,5010,5050,4940,192200,229190,45474196,0.79,40.0,25.44,2.97,198.08,1698.92,504000,100,6770,3560
3193,(株)鳥貴族,2369,2225,2369.2284,2400,2400,2240,58600,26894,11352300,0.14,3.33,48.51,9.83,48.84,240.97,236900,100,3180,1213
3197,(株)すかいらーく,1714,1680,1714.2222,1682,1722,1655,676100,332874,194208700,1.75,30.0,23.46,3.43,73.07,500.24,171400,100,1958,1168
3231,野村不動産ホールディングス(株),2233,2222,2232.1871,2210,2261,2181,1090500,427342,191375900,2.24,50.0,11.23,1.09,198.77,2056.13,223300,100,2700,1911
3289,東急不動産ホールディングス(株),803,793,803.1285,796,813,778,4499600,514587,640830974,1.37,11.0,18.45,1.23,43.53,652.71,80300,100,1016,726
3291,飯田グループホールディングス(株),1968,1894,1967.7462,1912,1982,1889,1101800,579441,294431639,1.93,38.0,15.42,1.07,127.61,1845.71,196800,100,2459,1421
3349,(株)コスモス薬品,14620,14290,14619.360799999999,14230,14670,14190,90300,292406,20000400,0.41,60.0,24.74,4.45,590.92,3285.7,1462000,100,19610,13600
3360,シップヘルスケアホールディングス(株),2546,2543,2545.2000000000003,2550,2593,2523,241800,126385,49640700,2.04,52.0,15.15,1.7,168.0,1493.51,254600,100,3070,2366
3382,(株)セブン＆アイ・ホールディングス,5144,4995,5143.3836,5040,5195,5023,4404900,4559858,886441983,1.5,77.0,23.56,1.97,218.31,2610.66,514400,100,5998,4118
3391,(株)ツルハホールディングス,9380,9310,9380.121,9390,9560,9200,326900,455803,48593068,0.94,88.0,25.1,3.39,373.71,2765.6,938000,100,11890,6840
3402,東レ(株),1026,991,1026.0055,1001,1029,996,8950000,1673900,1631481403,1.17,12.0,18.85,1.65,54.43,621.91,1026000,1000,1126,928
3405,(株)クラレ,1412,1379,1412.46,1384,1417,1371,2604100,501067,354863603,2.83,40.0,12.39,1.0,114.0,1410.83,141200,100,1688,1320
3407,旭化成(株),933,911,933.324,911,939,905,7425000,1309623,1402616332,2.14,20.0,12.3,1.18,75.88,788.55,933700,1000,1260,905
3436,(株)ＳＵＭＣＯ,1097,1042,,1050,1109,1043,3744700,321734,293285539,1.82,20.0,,1.54,,711.72,109700,100,2458,1001
3512,日本フエルト(株),503,485,503.20300000000003,492,514,488,24700,9981,19842089,2.58,13.0,12.14,0.61,41.45,829.58,50300,100,589,481
3606,(株)レナウン,146,141,145.9966,141,146,141,1048600,14791,101307449,0.0,0.0,24.62,0.57,5.93,255.96,14600,100,316,108
3626,ＩＴホールディングス(株),2636,2563,2635.5834000000004,2588,2657,2571,389600,231412,87789098,1.25,33.0,18.01,1.25,146.34,2102.69,263600,100,2998,1742
3632,グリー(株),559,561,,562,570,556,2903000,134574,240740000,,,,1.38,,406.27,55900,100,880,537
3636,(株)三菱総合研究所,2824,2736,2823.575,2750,2894,2701,10500,46382,16424080,1.77,50.0,13.25,1.22,213.1,2308.65,282400,100,3215,2653
